Year-month, Temperature
1998,28.12
1998.08333333333,28.74
1998.16666666667,29.23
1998.25,28.22
1998.33333333333,27.14
1998.41666666667,25.36
1998.5,23.37
1998.58333333333,21.97
1998.66666666667,20.95
1998.75,21.35
1998.83333333333,21.51
1998.91666666667,22.63
1999,23.79
1999.08333333333,25.56
1999.16666666667,26.45
1999.25,24.64
1999.33333333333,23.73
1999.41666666667,22.36
1999.5,21.73
1999.58333333333,20.89
1999.66666666667,19.67
1999.75,20.15
1999.83333333333,20.43
1999.91666666667,22.17
2000,23.81
2000.08333333333,25.48
2000.16666666667,26.02
2000.25,25.50
2000.33333333333,24.02
2000.41666666667,22.75
2000.5,21.68
2000.58333333333,20.44
2000.66666666667,20.50
2000.75,20.74
2000.83333333333,20.46
2000.91666666667,21.85
2001,23.94
2001.08333333333,25.62
2001.16666666667,26.66
2001.25,25.72
2001.33333333333,23.71
2001.41666666667,22.28
2001.5,21.38
2001.58333333333,20.16
2001.66666666667,19.60
2001.75,19.88
2001.83333333333,20.77
2001.91666666667,21.79
2002,23.79
2002.08333333333,26.03
2002.16666666667,27.25
2002.25,26.35
2002.33333333333,25.04
2002.41666666667,23.51
2002.5,21.72
2002.58333333333,20.74
2002.66666666667,20.93
2002.75,21.39
2002.83333333333,22.63
2002.91666666667,23.91
2003,24.69
2003.08333333333,25.98
2003.16666666667,26.42
2003.25,24.98
2003.33333333333,22.77
2003.41666666667,21.77
2003.5,20.95
2003.58333333333,21.02
2003.66666666667,20.28
2003.75,21.25
2003.83333333333,21.94
2003.91666666667,23.03
2004,24.36
2004.08333333333,26.03
2004.16666666667,25.75
2004.25,24.96
2004.33333333333,22.82
2004.41666666667,22.05
2004.5,21.18
2004.58333333333,20.26
2004.66666666667,20.46
2004.75,21.16
2004.83333333333,22.37
2004.91666666667,23.18
2005,24.54
2005.08333333333,25.16
2005.16666666667,25.03
2005.25,25.12
2005.33333333333,24.04
2005.41666666667,22.35
2005.5,21.61
2005.58333333333,20.61
2005.66666666667,19.99
2005.75,19.75
2005.83333333333,20.23
2005.91666666667,21.89
2006,24.19
2006.08333333333,26.32
2006.16666666667,26.20
2006.25,24.04
2006.33333333333,23.86
2006.41666666667,22.91
2006.5,22.16
2006.58333333333,21.71
2006.66666666667,21.70
2006.75,22.07
2006.83333333333,22.45
2006.91666666667,23.52
2007,25.23
2007.08333333333,26.21
2007.16666666667,25.84
2007.25,24.31
2007.33333333333,22.63
2007.41666666667,21.52
2007.5,20.98
2007.58333333333,19.81
2007.66666666667,19.75
2007.75,19.50
2007.83333333333,19.92
2007.91666666667,21.15
2008,24.08
2008.08333333333,26.32
2008.16666666667,26.88
2008.25,25.94
2008.33333333333,24.95
2008.41666666667,23.68
2008.5,22.95
2008.58333333333,22.40
2008.66666666667,21.75
2008.75,21.37
2008.83333333333,21.38
2008.91666666667,22.36
2009,24.40
2009.08333333333,25.42
2009.16666666667,25.67
2009.25,25.94
2009.33333333333,24.76
2009.41666666667,23.78
2009.5,22.71
2009.58333333333,21.85
2009.66666666667,21.23
2009.75,21.34
2009.83333333333,21.99
2009.91666666667,23.41
2010,24.85
2010.08333333333,26.22
2010.16666666667,26.56
2010.25,25.43
2010.33333333333,24.65
2010.41666666667,23.14
2010.5,20.93
2010.58333333333,19.70
2010.66666666667,19.50
2010.75,19.73
2010.83333333333,20.34
