Year-month, Temperature
1998-01-01,28.12
1998-02-01,28.74
1998-03-01,29.23
1998-04-01,28.22
1998-05-01,27.14
1998-06-01,25.36
1998-07-01,23.37
1998-08-01,21.97
1998-09-01,20.95
1998-10-01,21.35
1998-11-01,21.51
1998-12-01,22.63
1999-01-01,23.79
1999-02-01,25.56
1999-03-01,26.45
1999-04-01,24.64
1999-05-01,23.73
1999-06-01,22.36
1999-07-01,21.73
1999-08-01,20.89
1999-09-01,19.67
1999-10-01,20.15
1999-11-01,20.43
1999-12-01,22.17
2000-01-01,23.81
2000-02-01,25.48
2000-03-01,26.02
2000-04-01,25.5
2000-05-01,24.02
2000-06-01,22.75
2000-07-01,21.68
2000-08-01,20.44
2000-09-01,20.5
2000-10-01,20.74
2000-11-01,20.46
2000-12-01,21.85
2001-01-01,23.94
2001-02-01,25.62
2001-03-01,26.66
2001-04-01,25.72
2001-05-01,23.71
2001-06-01,22.28
2001-07-01,21.38
2001-08-01,20.16
2001-09-01,19.6
2001-10-01,19.88
2001-11-01,20.77
2001-12-01,21.79
2002-01-01,23.79
2002-02-01,26.03
2002-03-01,27.25
2002-04-01,26.35
2002-05-01,25.04
2002-06-01,23.51
2002-07-01,21.72
2002-08-01,20.74
2002-09-01,20.93
2002-10-01,21.39
2002-11-01,22.63
2002-12-01,23.91
2003-01-01,24.69
2003-02-01,25.98
2003-03-01,26.42
2003-04-01,24.98
2003-05-01,22.77
2003-06-01,21.77
2003-07-01,20.95
2003-08-01,21.02
2003-09-01,20.28
2003-10-01,21.25
2003-11-01,21.94
2003-12-01,23.03
2004-01-01,24.36
2004-02-01,26.03
2004-03-01,25.75
2004-04-01,24.96
2004-05-01,22.82
2004-06-01,22.05
2004-07-01,21.18
2004-08-01,20.26
2004-09-01,20.46
2004-10-01,21.16
2004-11-01,22.37
2004-12-01,23.18
2005-01-01,24.54
2005-02-01,25.16
2005-03-01,25.03
2005-04-01,25.12
2005-05-01,24.04
2005-06-01,22.35
2005-07-01,21.61
2005-08-01,20.61
2005-09-01,19.99
2005-10-01,19.75
2005-11-01,20.23
2005-12-01,21.89
2006-01-01,24.19
2006-02-01,26.32
2006-03-01,26.2
2006-04-01,24.04
2006-05-01,23.86
2006-06-01,22.91
2006-07-01,22.16
2006-08-01,21.71
2006-09-01,21.7
2006-10-01,22.07
2006-11-01,22.45
2006-12-01,23.52
2007-01-01,25.23
2007-02-01,26.21
2007-03-01,25.84
2007-04-01,24.31
2007-05-01,22.63
2007-06-01,21.52
2007-07-01,20.98
2007-08-01,19.81
2007-09-01,19.75
2007-10-01,19.5
2007-11-01,19.92
2007-12-01,21.15
2008-01-01,24.08
2008-02-01,26.32
2008-03-01,26.88
2008-04-01,25.94
2008-05-01,24.95
2008-06-01,23.68
2008-07-01,22.95
2008-08-01,22.4
2008-09-01,21.75
2008-10-01,21.37
2008-11-01,21.38
2008-12-01,22.36
2009-01-01,24.4
2009-02-01,25.42
2009-03-01,25.67
2009-04-01,25.94
2009-05-01,24.76
2009-06-01,23.78
2009-07-01,22.71
2009-08-01,21.85
2009-09-01,21.23
2009-10-01,21.34
2009-11-01,21.99
2009-12-01,23.41
2010-01-01,24.85
2010-02-01,26.22
2010-03-01,26.56
2010-04-01,25.43
2010-05-01,24.65
2010-06-01,23.14
2010-07-01,20.93
2010-08-01,19.7
2010-09-01,19.5
2010-10-01,19.73
2010-11-01,20.34
2010-12-01,21.91
2011-01-01,24.08
2011-02-01,25.94
2011-03-01,25.61
2011-04-01,25.34
2011-05-01,24.53
2011-06-01,23.42
2011-07-01,22.06
2011-08-01,20.79
2011-09-01,19.99
2011-10-01,20.24
2011-11-01,21.09
2011-12-01,22.13
2012-01-01,24.38
2012-02-01,26.46
2012-03-01,26.65
2012-04-01,26.44
2012-05-01,25.29
2012-06-01,24.14
2012-07-01,22.36
2012-08-01,21.07
2012-09-01,20.79
2012-10-01,20.65
2012-11-01,21.24
2012-12-01,21.96
2013-01-01,23.89
2013-02-01,25.37
2013-03-01,25.81
2013-04-01,24.31
2013-05-01,22.83
2013-06-01,21.22
2013-07-01,20.36
2013-08-01,19.85
2013-09-01,19.95
2013-10-01,20.27
2013-11-01,21.09
2013-12-01,22.37
2014-01-01,24.56
2014-02-01,25.49
2014-03-01,26.17
2014-04-01,25.51
2014-05-01,25.48
2014-06-01,24.67
2014-07-01,22.94
2014-08-01,21.9
2014-09-01,21.52
2014-10-01,21.71
2014-11-01,22.45
2014-12-01,23.22
2015-01-01,24.41
2015-02-01,25.57
2015-03-01,26.57
2015-04-01,26.54
2015-05-01,25.96
2015-06-01,25.32
2015-07-01,24.5
2015-08-01,22.66
2015-09-01,23.01
2015-10-01,23.14
2015-11-01,23.93
2015-12-01,25.02
2016-01-01,26.36
2016-02-01,27.4
2016-03-01,27.83
2016-04-01,25.98
2016-05-01,24.9
2016-06-01,23.77
2016-07-01,22.21
2016-08-01,21.25
2016-09-01,21.29
2016-10-01,21.36
2016-11-01,21.78
2016-12-01,23.24
2017-01-01,25.5
2017-02-01,27.46
2017-03-01,28.1
2017-04-01,26.59
2017-05-01,24.63
2017-06-01,22.89
2017-07-01,21.64
2017-08-01,20.67
2017-09-01,19.92
2017-10-01,20.21
2017-11-01,20.46
2017-12-01,21.39
2018-01-01,23.44
2018-02-01,25.13
2018-03-01,25.13
2018-04-01,24.51
2018-05-01,23.67
2018-06-01,22.4
2018-07-01,21.56
2018-08-01,20.74
2018-09-01,20.65
2018-10-01,21.18
2018-11-01,22.46
2018-12-01,23.86
2019-01-01,25.4
2019-02-01,26.62
2019-03-01,26.61
2019-04-01,25.83
2019-05-01,24.61
2019-06-01,22.78
2019-07-01,21.27
2019-08-01,20.24
2019-09-01,20.01
2019-10-01,20.27
2019-11-01,21.55
2019-12-01,22.77
2020-01-01,24.2
2020-02-01,26.12
2020-03-01,26.43
2020-04-01,25.81
2020-05-01,24.28
2020-06-01,22.43
2020-07-01,20.68
2020-08-01,19.96
2020-09-01,19.5
2020-10-01,20.42
2020-11-01,21.07
2020-12-01,22.21
2021-01-01,23.67
2021-02-01,25.24
2021-03-01,25.74
2021-04-01,24.59
2021-05-01,23.63
2021-06-01,22.75
2021-07-01,21.74
2021-08-01,20.71
2021-09-01,20.06
2021-10-01,20.23
2021-11-01,
2021-12-01,
