Year-month, Temperature
1998-01-01,28.93
1998-02-01,28.78
1998-03-01,28.62
1998-04-01,28.6
1998-05-01,28.51
1998-06-01,27.34
1998-07-01,26.3
1998-08-01,25.57
1998-09-01,25.46
1998-10-01,25.25
1998-11-01,25.24
1998-12-01,24.91
1999-01-01,24.86
1999-02-01,25.43
1999-03-01,26.33
1999-04-01,26.7
1999-05-01,26.79
1999-06-01,26.53
1999-07-01,26.13
1999-08-01,25.63
1999-09-01,25.63
1999-10-01,25.48
1999-11-01,25.12
1999-12-01,24.86
2000-01-01,24.78
2000-02-01,25.21
2000-03-01,26.3
2000-04-01,26.95
2000-05-01,27.07
2000-06-01,26.94
2000-07-01,26.63
2000-08-01,26.37
2000-09-01,26.2
2000-10-01,26.02
2000-11-01,25.92
2000-12-01,25.68
2001-01-01,25.81
2001-02-01,26.12
2001-03-01,26.8
2001-04-01,27.33
2001-05-01,27.6
2001-06-01,27.54
2001-07-01,27.25
2001-08-01,26.8
2001-09-01,26.52
2001-10-01,26.57
2001-11-01,26.33
2001-12-01,26.19
2002-01-01,26.39
2002-02-01,26.71
2002-03-01,27.29
2002-04-01,27.84
2002-05-01,28.24
2002-06-01,28.44
2002-07-01,28.03
2002-08-01,27.72
2002-09-01,27.81
2002-10-01,27.96
2002-11-01,28.17
2002-12-01,27.97
2003-01-01,27.15
2003-02-01,27.39
2003-03-01,27.65
2003-04-01,27.68
2003-05-01,27.32
2003-06-01,27.44
2003-07-01,27.5
2003-08-01,27.11
2003-09-01,26.99
2003-10-01,27.14
2003-11-01,27.04
2003-12-01,27.03
2004-01-01,26.81
2004-02-01,26.98
2004-03-01,27.4
2004-04-01,27.89
2004-05-01,28.0
2004-06-01,27.86
2004-07-01,27.78
2004-08-01,27.62
2004-09-01,27.53
2004-10-01,27.44
2004-11-01,27.36
2004-12-01,27.34
2005-01-01,27.21
2005-02-01,27.11
2005-03-01,27.73
2005-04-01,28.08
2005-05-01,28.24
2005-06-01,27.77
2005-07-01,27.06
2005-08-01,26.8
2005-09-01,26.68
2005-10-01,26.65
2005-11-01,26.11
2005-12-01,25.68
2006-01-01,25.63
2006-02-01,26.08
2006-03-01,26.57
2006-04-01,27.5
2006-05-01,27.85
2006-06-01,27.73
2006-07-01,27.3
2006-08-01,27.16
2006-09-01,27.32
2006-10-01,27.41
2006-11-01,27.69
2006-12-01,27.74
2007-01-01,27.24
2007-02-01,26.88
2007-03-01,27.1
2007-04-01,27.5
2007-05-01,27.46
2007-06-01,27.37
2007-07-01,26.71
2007-08-01,26.14
2007-09-01,25.61
2007-10-01,25.32
2007-11-01,25.17
2007-12-01,25.01
2008-01-01,24.86
2008-02-01,25.08
2008-03-01,26.07
2008-04-01,26.83
2008-05-01,27.09
2008-06-01,27.04
2008-07-01,26.99
2008-08-01,26.72
2008-09-01,26.47
2008-10-01,26.37
2008-11-01,26.25
2008-12-01,25.74
2009-01-01,25.66
2009-02-01,25.96
2009-03-01,26.59
2009-04-01,27.47
2009-05-01,27.99
2009-06-01,28.04
2009-07-01,27.78
2009-08-01,27.42
2009-09-01,27.4
2009-10-01,27.6
2009-11-01,28.16
2009-12-01,28.34
2010-01-01,28.07
2010-02-01,28.01
2010-03-01,28.18
2010-04-01,28.2
2010-05-01,27.71
2010-06-01,27.04
2010-07-01,26.22
2010-08-01,25.47
2010-09-01,25.12
2010-10-01,25.03
2010-11-01,25.06
2010-12-01,25.0
2011-01-01,25.0
2011-02-01,25.64
2011-03-01,26.36
2011-04-01,27.05
2011-05-01,27.41
2011-06-01,27.35
2011-07-01,26.87
2011-08-01,26.21
2011-09-01,25.92
2011-10-01,25.67
2011-11-01,25.52
2011-12-01,25.54
2012-01-01,25.67
2012-02-01,26.08
2012-03-01,26.67
2012-04-01,27.32
2012-05-01,27.61
2012-06-01,27.75
2012-07-01,27.54
2012-08-01,27.32
2012-09-01,27.1
2012-10-01,26.98
2012-11-01,26.86
2012-12-01,26.34
2013-01-01,26.01
2013-02-01,26.24
2013-03-01,27.03
2013-04-01,27.57
2013-05-01,27.53
2013-06-01,27.3
2013-07-01,26.91
2013-08-01,26.47
2013-09-01,26.54
2013-10-01,26.52
2013-11-01,26.56
2013-12-01,26.43
2014-01-01,26.05
2014-02-01,26.14
2014-03-01,27.0
2014-04-01,27.9
2014-05-01,28.25
2014-06-01,27.96
2014-07-01,27.23
2014-08-01,26.82
2014-09-01,27.01
2014-10-01,27.16
2014-11-01,27.46
2014-12-01,27.31
2015-01-01,27.05
2015-02-01,27.17
2015-03-01,27.75
2015-04-01,28.52
2015-05-01,28.85
2015-06-01,28.9
2015-07-01,28.75
2015-08-01,28.79
2015-09-01,28.93
2015-10-01,29.08
2015-11-01,29.42
2015-12-01,29.26
2016-01-01,29.11
2016-02-01,29.01
2016-03-01,28.9
2016-04-01,28.72
2016-05-01,28.23
2016-06-01,27.69
2016-07-01,26.82
2016-08-01,26.28
2016-09-01,26.14
2016-10-01,25.98
2016-11-01,25.94
2016-12-01,26.1
2017-01-01,26.12
2017-02-01,26.67
2017-03-01,27.32
2017-04-01,28.03
2017-05-01,28.3
2017-06-01,28.06
2017-07-01,27.54
2017-08-01,26.7
2017-09-01,26.29
2017-10-01,26.15
2017-11-01,25.74
2017-12-01,25.62
2018-01-01,25.57
2018-02-01,25.97
2018-03-01,26.48
2018-04-01,27.31
2018-05-01,27.73
2018-06-01,27.77
2018-07-01,27.42
2018-08-01,26.94
2018-09-01,27.19
2018-10-01,27.62
2018-11-01,27.61
2018-12-01,27.49
2019-01-01,27.19
2019-02-01,27.46
2019-03-01,28.09
2019-04-01,28.44
2019-05-01,28.48
2019-06-01,28.18
2019-07-01,27.64
2019-08-01,26.9
2019-09-01,26.75
2019-10-01,27.2
2019-11-01,27.22
2019-12-01,27.12
2020-01-01,27.15
2020-02-01,27.12
2020-03-01,27.76
2020-04-01,28.18
2020-05-01,27.66
2020-06-01,27.39
2020-07-01,26.99
2020-08-01,26.26
2020-09-01,25.89
2020-10-01,25.46
2020-11-01,25.28
2020-12-01,25.44
2021-01-01,25.54
2021-02-01,25.75
2021-03-01,26.49
2021-04-01,27.1
2021-05-01,27.48
2021-06-01,27.45
2021-07-01,26.91
2021-08-01,26.35
2021-09-01,26.16
2021-10-01,25.77
2021-11-01,
2021-12-01,
