Year-month, Temperature
1998-01-01,28.95
1998-02-01,28.79
1998-03-01,28.62
1998-04-01,28.56
1998-05-01,28.66
1998-06-01,28.26
1998-07-01,28.11
1998-08-01,27.77
1998-09-01,27.74
1998-10-01,27.42
1998-11-01,27.24
1998-12-01,27.06
1999-01-01,26.64
1999-02-01,26.56
1999-03-01,26.98
1999-04-01,27.41
1999-05-01,27.89
1999-06-01,27.96
1999-07-01,27.75
1999-08-01,27.69
1999-09-01,27.79
1999-10-01,27.79
1999-11-01,27.42
1999-12-01,27.18
2000-01-01,26.99
2000-02-01,26.73
2000-03-01,26.89
2000-04-01,27.2
2000-05-01,27.63
2000-06-01,28.06
2000-07-01,28.17
2000-08-01,28.16
2000-09-01,28.27
2000-10-01,28.11
2000-11-01,27.92
2000-12-01,27.59
2001-01-01,27.43
2001-02-01,27.37
2001-03-01,27.61
2001-04-01,28.04
2001-05-01,28.53
2001-06-01,28.79
2001-07-01,28.98
2001-08-01,28.84
2001-09-01,28.97
2001-10-01,28.95
2001-11-01,28.78
2001-12-01,28.66
2002-01-01,28.72
2002-02-01,28.66
2002-03-01,28.57
2002-04-01,29.03
2002-05-01,29.52
2002-06-01,29.61
2002-07-01,29.52
2002-08-01,29.43
2002-09-01,29.37
2002-10-01,29.41
2002-11-01,29.55
2002-12-01,29.38
2003-01-01,28.89
2003-02-01,28.88
2003-03-01,28.92
2003-04-01,28.96
2003-05-01,28.86
2003-06-01,29.07
2003-07-01,29.08
2003-08-01,28.98
2003-09-01,28.94
2003-10-01,29.12
2003-11-01,29.07
2003-12-01,28.97
2004-01-01,28.75
2004-02-01,28.57
2004-03-01,28.42
2004-04-01,28.71
2004-05-01,29.02
2004-06-01,29.19
2004-07-01,29.32
2004-08-01,29.34
2004-09-01,29.45
2004-10-01,29.46
2004-11-01,29.45
2004-12-01,29.41
2005-01-01,29.2
2005-02-01,28.87
2005-03-01,28.93
2005-04-01,29.05
2005-05-01,29.21
2005-06-01,29.14
2005-07-01,28.79
2005-08-01,28.73
2005-09-01,28.79
2005-10-01,28.85
2005-11-01,28.55
2005-12-01,28.28
2006-01-01,27.82
2006-02-01,27.52
2006-03-01,27.73
2006-04-01,28.29
2006-05-01,28.86
2006-06-01,29.03
2006-07-01,29.1
2006-08-01,29.21
2006-09-01,29.4
2006-10-01,29.45
2006-11-01,29.62
2006-12-01,29.46
2007-01-01,28.97
2007-02-01,28.66
2007-03-01,28.66
2007-04-01,28.73
2007-05-01,28.84
2007-06-01,28.9
2007-07-01,28.68
2007-08-01,28.48
2007-09-01,28.11
2007-10-01,27.91
2007-11-01,27.61
2007-12-01,27.42
2008-01-01,26.87
2008-02-01,26.62
2008-03-01,26.97
2008-04-01,27.46
2008-05-01,27.81
2008-06-01,27.96
2008-07-01,28.07
2008-08-01,28.04
2008-09-01,28.08
2008-10-01,28.17
2008-11-01,27.98
2008-12-01,27.73
2009-01-01,27.37
2009-02-01,27.35
2009-03-01,27.74
2009-04-01,28.37
2009-05-01,28.9
2009-06-01,29.14
2009-07-01,29.19
2009-08-01,29.23
2009-09-01,29.33
2009-10-01,29.68
2009-11-01,29.82
2009-12-01,29.72
2010-01-01,29.44
2010-02-01,29.08
2010-03-01,29.07
2010-04-01,29.13
2010-05-01,29.01
2010-06-01,28.66
2010-07-01,28.1
2010-08-01,27.54
2010-09-01,27.32
2010-10-01,27.15
2010-11-01,27.11
2010-12-01,27.09
2011-01-01,26.92
2011-02-01,27.15
2011-03-01,27.51
2011-04-01,27.89
2011-05-01,28.35
2011-06-01,28.46
2011-07-01,28.42
2011-08-01,28.16
2011-09-01,28.0
2011-10-01,27.86
2011-11-01,27.8
2011-12-01,27.53
2012-01-01,27.3
2012-02-01,27.29
2012-03-01,27.56
2012-04-01,28.03
2012-05-01,28.4
2012-06-01,28.58
2012-07-01,28.64
2012-08-01,28.86
2012-09-01,28.97
2012-10-01,29.07
2012-11-01,29.0
2012-12-01,28.6
2013-01-01,28.24
2013-02-01,28.01
2013-03-01,27.95
2013-04-01,28.36
2013-05-01,28.69
2013-06-01,28.77
2013-07-01,28.66
2013-08-01,28.61
2013-09-01,28.65
2013-10-01,28.72
2013-11-01,28.74
2013-12-01,28.48
2014-01-01,28.14
2014-02-01,28.27
2014-03-01,28.6
2014-04-01,28.98
2014-05-01,29.45
2014-06-01,29.36
2014-07-01,29.04
2014-08-01,29.04
2014-09-01,29.16
2014-10-01,29.24
2014-11-01,29.43
2014-12-01,29.3
2015-01-01,29.07
2015-02-01,29.07
2015-03-01,29.22
2015-04-01,29.61
2015-05-01,29.85
2015-06-01,29.88
2015-07-01,29.78
2015-08-01,29.77
2015-09-01,29.82
2015-10-01,29.84
2015-11-01,30.13
2015-12-01,29.91
2016-01-01,29.54
2016-02-01,29.41
2016-03-01,29.39
2016-04-01,29.37
2016-05-01,29.45
2016-06-01,29.35
2016-07-01,29.05
2016-08-01,28.73
2016-09-01,28.51
2016-10-01,28.32
2016-11-01,28.24
2016-12-01,28.35
2017-01-01,28.16
2017-02-01,28.11
2017-03-01,28.29
2017-04-01,28.69
2017-05-01,29.1
2017-06-01,29.29
2017-07-01,29.16
2017-08-01,28.87
2017-09-01,28.72
2017-10-01,28.56
2017-11-01,28.3
2017-12-01,28.02
2018-01-01,27.88
2018-02-01,27.85
2018-03-01,28.1
2018-04-01,28.65
2018-05-01,29.07
2018-06-01,29.21
2018-07-01,29.13
2018-08-01,29.24
2018-09-01,29.34
2018-10-01,29.71
2018-11-01,29.61
2018-12-01,29.45
2019-01-01,29.08
2019-02-01,28.91
2019-03-01,28.96
2019-04-01,29.15
2019-05-01,29.45
2019-06-01,29.58
2019-07-01,29.66
2019-08-01,29.44
2019-09-01,29.34
2019-10-01,29.51
2019-11-01,29.46
2019-12-01,29.41
2020-01-01,29.17
2020-02-01,28.97
2020-03-01,29.07
2020-04-01,29.15
2020-05-01,29.01
2020-06-01,29.09
2020-07-01,28.89
2020-08-01,28.47
2020-09-01,28.21
2020-10-01,27.96
2020-11-01,27.8
2020-12-01,27.54
2021-01-01,27.26
2021-02-01,27.23
2021-03-01,27.67
2021-04-01,28.19
2021-05-01,28.7
2021-06-01,28.83
2021-07-01,28.67
2021-08-01,28.53
2021-09-01,28.23
2021-10-01,28.03
2021-11-01,
2021-12-01,
