insolacao_1,insolacao_2,insolacao_3,insolacao_4,pressao_1,pressao_2,pressao_3,pressao_4,humidade_1,humidade_2,humidade_3,humidade_4,precipitação_1,precipitação_2,precipitação_3,precipitação_4,el_12_1,el_12_2,el_12_3,el_12_4,el_34_1,el_34_2,el_34_3,el_34_4,el_3_1,el_3_2,el_3_3,el_3_4,el_4_1,el_4_2,el_4_3,el_4_4,NTA_1,NTA_2,NTA_3,NTA_4,TNA_1,TNA_2,TNA_3,TNA_4,TSA_1,TSA_2,TSA_3,TSA_4,crop_anterior,crop_iguatu_total
194.8,254.9,258.3,265.9,983.349462,984.505952,983.539785,983.723333,76.725806,72.357143,77.306452,77.240385,202.1,196.8,303.5,110.9,28.12,28.74,29.23,28.22,28.93,28.78,28.62,28.6,28.74,28.9,29.12,29.22,28.95,28.79,28.62,28.56,0.47,0.58,0.67,0.56,0.43,0.77,0.75,0.59,0.72,0.74,0.69,0.54,11165.0,11582.0
195.1,230.0,211.0,232.0,983.515054,983.92381,983.737634,985.124444,55.451613,59.794643,74.080645,76.966667,76.1,97.5,236.4,154.7,23.79,25.56,26.45,24.64,24.86,25.43,26.33,26.7,24.41,25.52,26.68,26.71,26.64,26.56,26.98,27.41,-0.11,-0.32,-0.38,-0.31,-0.1,-0.2,-0.23,-0.13,0.13,0.05,0.33,0.45,11582.0,7904.0
219.8,215.9,197.2,233.8,985.643011,986.987356,986.098925,987.023333,77.653226,78.887931,84.120968,81.5,144.9,247.2,302.8,215.5,23.81,25.48,26.02,25.5,24.78,25.21,26.3,26.95,24.0,25.27,26.7,27.41,26.99,26.73,26.89,27.2,-0.13,-0.16,-0.14,-0.15,-0.18,-0.1,0.06,-0.01,0.21,0.39,0.4,0.37,7904.0,10622.0
237.1,168.2,200.8,196.8,986.903297,986.033333,987.168817,987.308889,62.266667,69.848214,77.024194,76.758333,59.5,78.7,262.7,128.9,23.94,25.62,26.66,25.72,25.81,26.12,26.8,27.33,25.24,26.12,27.2,27.46,27.43,27.37,27.61,28.04,-0.27,-0.11,-0.07,-0.03,-0.13,-0.15,0.15,0.05,0.16,0.17,0.29,0.38,10622.0,9497.0
172.3,225.7,215.9,219.2,987.543011,987.588095,987.458065,986.352222,82.137097,72.544643,78.064516,78325.0,234.8,44.0,215.3,117.0,23.79,26.03,27.25,26.35,26.39,26.71,27.29,27.84,25.17,26.16,27.35,27.58,28.72,28.66,28.57,29.03,0.61,0.51,0.25,0.0,0.78,0.53,0.37,-0.02,0.14,-0.06,0.29,0.31,9497.0,10112.0
232.7,168.8,230.3,243.4,987.533696,987.509524,987.854167,988855.0,53.169355,74.580357,84.1,85.466667,95.9,337.7,256.4,139.3,24.69,25.98,26.42,24.98,27.15,27.39,27.65,27.68,26.23,26.84,27.39,27.14,28.89,28.88,28.92,28.96,-0.0,0.01,-0.02,0.01,0.27,0.0,0.04,0.0,0.56,0.57,0.63,0.42,10112.0,10018.0
155.0,171.0,235.1,216.7,987.212903,988.482759,988.004839,988315.0,75.866667,86.551724,86.096774,87.033333,420.5,237.3,269.9,82.7,24.36,26.03,25.75,24.96,26.81,26.98,27.4,27.89,26.08,26.7,27.34,27.52,28.75,28.57,28.42,28.71,0.49,0.47,0.38,0.19,0.5,0.51,0.36,0.46,0.41,0.22,-0.01,-0.26,10018.0,12603.0
230.0,204.7,189.1,236.4,986.675806,986.653571,987.959677,988.251667,54.558333,58.607143,71.0,81.366667,34.0,41.7,234.3,28.4,24.54,25.16,25.03,25.12,27.21,27.11,27.73,28.08,25.98,26.31,27.14,27.53,29.2,28.87,28.93,29.05,0.38,0.47,0.57,0.75,0.46,0.38,0.68,0.81,0.61,0.49,0.61,0.29,12603.0,9887.0
277.0,179.8,217.6,201.4,985.283871,986.220238,987.035484,986.59,55.572581,68.901786,76.346774,80.9,65.1,136.0,75.7,148.7,24.19,26.32,26.2,24.04,25.63,26.08,26.57,27.5,24.85,26.06,26.65,27.16,27.82,27.52,27.73,28.29,0.39,0.19,0.16,0.25,0.41,0.19,0.18,0.41,0.04,0.23,0.41,0.31,9887.0,9463.0
284.5,181.3,252.7,206.5,986.624731,987.210714,986.983871,987.231111,59.532258,79.223214,76.516129,75.733333,87.5,303.0,124.6,165.7,25.23,26.21,25.84,24.31,27.24,26.88,27.1,27.5,26.53,26.49,26.8,26.95,28.97,28.66,28.66,28.73,0.4,0.42,0.44,0.31,0.46,0.56,0.33,0.4,0.24,0.21,0.04,0.24,9463.0,11259.0
