pressao_1,pressao_2,pressao_3,pressao_4,temp_condensada_1,temp_condensada_2,temp_condensada_3,temp_condensada_4,precipitação_1,precipitação_2,precipitação_3,precipitação_4,el_12_1,el_12_2,el_12_3,el_12_4,el_34_1,el_34_2,el_34_3,el_34_4,el_3_1,el_3_2,el_3_3,el_3_4,el_4_1,el_4_2,el_4_3,el_4_4,NTA_1,NTA_2,NTA_3,NTA_4,TNA_1,TNA_2,TNA_3,TNA_4,TSA_1,TSA_2,TSA_3,TSA_4,crop_anterior,crop_taua_total
964.283871,965.219048,964.3,964.545556,27.616774,29.009286,27.985161,27538.0,86.0,2.1,145.4,25.5,28.12,28.74,29.23,28.22,28.93,28.78,28.62,28.6,28.74,28.9,29.12,29.22,28.95,28.79,28.62,28.56,0.47,0.58,0.67,0.56,0.43,0.77,0.75,0.59,0.72,0.74,0.69,0.54,22061.0,23312.0
963.636559,964.216667,964.021505,965.344444,27.601935,27.475714,26.077419,25.685333,128.7,35.4,138.8,64.4,23.79,25.56,26.45,24.64,24.86,25.43,26.33,26.7,24.41,25.52,26.68,26.71,26.64,26.56,26.98,27.41,-0.11,-0.32,-0.38,-0.31,-0.1,-0.2,-0.23,-0.13,0.13,0.05,0.33,0.45,23312.0,26250.0
964.9,966.203448,965.075269,966.116667,25.690323,25.747586,25.243871,25.18,179.6,78.2,199.9,92.8,23.81,25.48,26.02,25.5,24.78,25.21,26.3,26.95,24.0,25.27,26.7,27.41,26.99,26.73,26.89,27.2,-0.13,-0.16,-0.14,-0.15,-0.18,-0.1,0.06,-0.01,0.21,0.39,0.4,0.37,26250.0,33270.0
966.913793,966.866667,966.78913,966.373333,25.307692,26.061429,25.646452,25.427333,145.9,67.1,107.9,73.7,23.79,26.03,27.25,26.35,26.39,26.71,27.29,27.84,25.17,26.16,27.35,27.58,28.72,28.66,28.57,29.03,0.61,0.51,0.25,0.0,0.78,0.53,0.37,-0.02,0.14,-0.06,0.29,0.31,23052.0,26892.0
966.950538,966.832143,966.672043,967.265556,28.455484,26.567143,25.729677,25.928667,38.8,168.6,202.8,56.1,24.69,25.98,26.42,24.98,27.15,27.39,27.65,27.68,26.23,26.84,27.39,27.14,28.89,28.88,28.92,28.96,-0.0,0.01,-0.02,0.01,0.27,0.0,0.04,0.0,0.56,0.57,0.63,0.42,26892.0,33746.0
965.66129,966.852874,966.413978,966.731111,26.514839,25.454483,25.925806,25.757333,339.3,135.7,56.2,89.4,24.36,26.03,25.75,24.96,26.81,26.98,27.4,27.89,26.08,26.7,27.34,27.52,28.75,28.57,28.42,28.71,0.49,0.47,0.38,0.19,0.5,0.51,0.36,0.46,0.41,0.22,-0.01,-0.26,33746.0,40363.0
965.25914,965.102381,966.356522,966.598889,28.062581,28.237857,27.729677,26.653333,91.6,40.0,204.1,15.8,24.54,25.16,25.03,25.12,27.21,27.11,27.73,28.08,25.98,26.31,27.14,27.53,29.2,28.87,28.93,29.05,0.38,0.47,0.57,0.75,0.46,0.38,0.68,0.81,0.61,0.49,0.61,0.29,40363.0,31952.0
964.896774,965.760714,966.380645,966.068889,28.675484,26.872857,26.187097,25.581333,29.7,121.1,125.4,112.8,24.19,26.32,26.2,24.04,25.63,26.08,26.57,27.5,24.85,26.06,26.65,27.16,27.82,27.52,27.73,28.29,0.39,0.19,0.16,0.25,0.41,0.19,0.18,0.41,0.04,0.23,0.41,0.31,31952.0,36911.0
966.070968,966.734524,966.529032,966.763333,28.818065,26.387857,25.935484,26.38,19.2,239.0,67.2,78.2,25.23,26.21,25.84,24.31,27.24,26.88,27.1,27.5,26.53,26.49,26.8,26.95,28.97,28.66,28.66,28.73,0.4,0.42,0.44,0.31,0.46,0.56,0.33,0.4,0.24,0.21,0.04,0.24,36911.0,34543.0
965.133333,966.385057,966.124731,965.715556,27.065806,26.121379,24.863226,24972.0,81.5,131.7,318.5,191.3,24.08,26.32,26.88,25.94,24.86,25.08,26.07,26.83,24.19,25.16,26.45,27.12,26.87,26.62,26.97,27.46,0.03,0.08,0.11,0.1,0.14,0.18,0.27,0.09,0.19,0.36,0.6,0.64,34543.0,35526.0
965.889247,965.640476,965.67957,967.066667,27.829032,26.957857,26.309677,24.984667,128.8,8.8,91.4,244.3,24.4,25.42,25.67,25.94,25.66,25.96,26.59,27.47,25.15,25.84,26.49,27.41,27.37,27.35,27.74,28.37,-0.12,-0.29,-0.4,-0.38,0.07,-0.37,-0.34,-0.31,0.45,0.35,0.54,0.52,35526.0,36832.0
967.208065,966.380357,966.774194,967.246667,26.827742,28335.0,28.949677,26.968667,151.5,27.8,50.5,60.2,24.85,26.22,26.56,25.43,28.07,28.01,28.18,28.2,26.73,27.28,27.76,27.85,29.44,29.08,29.07,29.13,0.57,0.83,1.04,1.13,0.8,1.07,1.27,1.4,0.79,0.68,0.89,0.68,36832.0,30856.0
