feat_1,feat_2,feat_3,feat_4,feat_5,feat_6,feat_7,feat_8,feat_9,feat_10,feat_11,feat_12,feat_13,feat_14,feat_15,feat_16,feat_17,feat_18,feat_19,feat_20,feat_21,feat_22,feat_23,feat_24,feat_25,feat_26,feat_27,feat_28,feat_29,feat_30,feat_31,feat_32,feat_33,feat_34,feat_35,feat_36,feat_37,feat_38,feat_39,feat_40,feat_41,feat_42,feat_43,feat_44,feat_45,feat_46,feat_47,feat_48,feat_49,feat_50,feat_51,feat_52,feat_53,feat_54,feat_55,feat_56,feat_57,feat_58,feat_59,feat_60,feat_61,feat_62,feat_63,feat_64,feat_65,feat_66,PRECIPITACAO TOTAL MENSAL(mm)
271.5,260.1,265.7,292.7,303.5,313.1,965.534409,967.392222,967.233333,966.295699,965.437778,964.294624,26.800645,26.345333,25.878065,26.957419,27.813333,28.982581,58.112903,56.416667,57.298387,45.83871,38.616667,37.008065,27.14,25.36,23.37,21.97,20.95,21.35,28.51,27.34,26.3,25.57,25.46,25.25,28.64,26.99,25.42,24.45,23.95,23.99,28.66,28.26,28.11,27.77,27.74,27.42,0.48,0.39,0.37,0.31,0.28,0.22,0.59,0.66,0.56,0.67,0.51,0.49,0.54,0.66,0.85,0.59,0.41,0.21,94.5
260.1,265.7,292.7,303.5,313.1,233.1,967.392222,967.233333,966.295699,965.437778,964.294624,962.455556,26.345333,25.878065,26.957419,27.813333,28.982581,28.415333,56.416667,57.298387,45.83871,38.616667,37.008065,47.208333,25.36,23.37,21.97,20.95,21.35,21.51,27.34,26.3,25.57,25.46,25.25,25.24,26.99,25.42,24.45,23.95,23.99,24.24,28.26,28.11,27.77,27.74,27.42,27.24,0.39,0.37,0.31,0.28,0.22,0.2,0.66,0.56,0.67,0.51,0.49,0.43,0.66,0.85,0.59,0.41,0.21,0.32,330.4
265.7,292.7,303.5,313.1,233.1,253.4,967.233333,966.295699,965.437778,964.294624,962.455556,962.866667,25.878065,26.957419,27.813333,28.982581,28.415333,28.394194,57.298387,45.83871,38.616667,37.008065,47.208333,47.016129,23.37,21.97,20.95,21.35,21.51,22.63,26.3,25.57,25.46,25.25,25.24,24.91,25.42,24.45,23.95,23.99,24.24,24.13,28.11,27.77,27.74,27.42,27.24,27.06,0.37,0.31,0.28,0.22,0.2,0.09,0.56,0.67,0.51,0.49,0.43,0.29,0.85,0.59,0.41,0.21,0.32,0.11,112.8
292.7,303.5,313.1,233.1,253.4,189.8,966.295699,965.437778,964.294624,962.455556,962.866667,962.82043,26.957419,27.813333,28.982581,28.415333,28.394194,25.849677,45.83871,38.616667,37.008065,47.208333,47.016129,69.419355,21.97,20.95,21.35,21.51,22.63,23.79,25.57,25.46,25.25,25.24,24.91,24.86,24.45,23.95,23.99,24.24,24.13,24.41,27.77,27.74,27.42,27.24,27.06,26.64,0.31,0.28,0.22,0.2,0.09,-0.11,0.67,0.51,0.49,0.43,0.29,-0.1,0.59,0.41,0.21,0.32,0.11,0.13,112.8
303.5,313.1,233.1,253.4,189.8,213.1,965.437778,964.294624,962.455556,962.866667,962.82043,963.37381,27.813333,28.982581,28.415333,28.394194,25.849677,25.793571,38.616667,37.008065,47.208333,47.016129,69.419355,70.883929,20.95,21.35,21.51,22.63,23.79,25.56,25.46,25.25,25.24,24.91,24.86,25.43,23.95,23.99,24.24,24.13,24.41,25.52,27.74,27.42,27.24,27.06,26.64,26.56,0.28,0.22,0.2,0.09,-0.11,-0.32,0.51,0.49,0.43,0.29,-0.1,-0.2,0.41,0.21,0.32,0.11,0.13,0.05,2.7
313.1,233.1,253.4,189.8,213.1,199.4,964.294624,962.455556,962.866667,962.82043,963.37381,962.983871,28.982581,28.415333,28.394194,25.849677,25.793571,24.692258,37.008065,47.208333,47.016129,69.419355,70.883929,80.193548,21.35,21.51,22.63,23.79,25.56,26.45,25.25,25.24,24.91,24.86,25.43,26.33,23.99,24.24,24.13,24.41,25.52,26.68,27.42,27.24,27.06,26.64,26.56,26.98,0.22,0.2,0.09,-0.11,-0.32,-0.38,0.49,0.43,0.29,-0.1,-0.2,-0.23,0.21,0.32,0.11,0.13,0.05,0.33,3.6
233.1,253.4,189.8,213.1,199.4,254.7,962.455556,962.866667,962.82043,963.37381,962.983871,964.385556,28.415333,28.394194,25.849677,25.793571,24.692258,25172.0,47.208333,47.016129,69.419355,70.883929,80.193548,73.5,21.51,22.63,23.79,25.56,26.45,24.64,25.24,24.91,24.86,25.43,26.33,26.7,24.24,24.13,24.41,25.52,26.68,26.71,27.24,27.06,26.64,26.56,26.98,27.41,0.2,0.09,-0.11,-0.32,-0.38,-0.31,0.43,0.29,-0.1,-0.2,-0.23,-0.13,0.32,0.11,0.13,0.05,0.33,0.45,0.0
253.4,189.8,213.1,199.4,254.7,248.8,962.866667,962.82043,963.37381,962.983871,964.385556,965.255914,28.394194,25.849677,25.793571,24.692258,25172.0,24.539355,47.016129,69.419355,70.883929,80.193548,73.5,74.580645,22.63,23.79,25.56,26.45,24.64,23.73,24.91,24.86,25.43,26.33,26.7,26.79,24.13,24.41,25.52,26.68,26.71,26.45,27.06,26.64,26.56,26.98,27.41,27.89,0.09,-0.11,-0.32,-0.38,-0.31,-0.21,0.29,-0.1,-0.2,-0.23,-0.13,0.11,0.11,0.13,0.05,0.33,0.45,0.53,1.6
189.8,213.1,199.4,254.7,248.8,279.8,962.82043,963.37381,962.983871,964.385556,965.255914,965.812222,25.849677,25.793571,24.692258,25172.0,24.539355,24.376667,69.419355,70.883929,80.193548,73.5,74.580645,60925.0,23.79,25.56,26.45,24.64,23.73,22.36,24.86,25.43,26.33,26.7,26.79,26.53,24.41,25.52,26.68,26.71,26.45,25.72,26.64,26.56,26.98,27.41,27.89,27.96,-0.11,-0.32,-0.38,-0.31,-0.21,-0.15,-0.1,-0.2,-0.23,-0.13,0.11,0.15,0.13,0.05,0.33,0.45,0.53,0.49,15.3
213.1,199.4,254.7,248.8,279.8,279.7,963.37381,962.983871,964.385556,965.255914,965.812222,967.562366,25.793571,24.692258,25172.0,24.539355,24.376667,24.592903,70.883929,80.193548,73.5,74.580645,60925.0,52.830645,25.56,26.45,24.64,23.73,22.36,21.73,25.43,26.33,26.7,26.79,26.53,26.13,25.52,26.68,26.71,26.45,25.72,25.05,26.56,26.98,27.41,27.89,27.96,27.75,-0.32,-0.38,-0.31,-0.21,-0.15,-0.09,-0.2,-0.23,-0.13,0.11,0.15,0.17,0.05,0.33,0.45,0.53,0.49,0.64,24.5
