feat_1,feat_2,feat_3,feat_4,feat_5,feat_6,feat_7,feat_8,feat_9,feat_10,feat_11,feat_12,feat_13,feat_14,feat_15,feat_16,feat_17,feat_18,feat_19,feat_20,feat_21,feat_22,feat_23,feat_24,feat_25,feat_26,feat_27,feat_28,feat_29,feat_30,feat_31,feat_32,feat_33,feat_34,feat_35,feat_36,feat_37,feat_38,feat_39,feat_40,feat_41,feat_42,feat_43,feat_44,feat_45,feat_46,feat_47,feat_48,feat_49,feat_50,feat_51,feat_52,feat_53,feat_54,feat_55,feat_56,feat_57,feat_58,feat_59,feat_60,feat_61,feat_62,feat_63,feat_64,feat_65,feat_66,PRECIPITACAO TOTAL MENSAL(mm)
261.7,287.2,297.3,302.4,279.9,277.9,1009.792473,1009.394624,1009.056667,1008.563441,1006.72,1007.060215,26.86129,26.820645,27.337333,27.814839,27.983333,27.914839,74.112903,72.919355,70375.0,71.016129,71.933333,72.0,23.37,21.97,20.95,21.35,21.51,22.63,26.3,25.57,25.46,25.25,25.24,24.91,25.42,24.45,23.95,23.99,24.24,24.13,28.11,27.77,27.74,27.42,27.24,27.06,0.37,0.31,0.28,0.22,0.2,0.09,0.56,0.67,0.51,0.49,0.43,0.29,0.85,0.59,0.41,0.21,0.32,0.11,59.3
287.2,297.3,302.4,279.9,277.9,245.0,1009.394624,1009.056667,1008.563441,1006.72,1007.060215,1006.335484,26.820645,27.337333,27.814839,27.983333,27.914839,27.636129,72.919355,70375.0,71.016129,71.933333,72.0,74.241935,21.97,20.95,21.35,21.51,22.63,23.79,25.57,25.46,25.25,25.24,24.91,24.86,24.45,23.95,23.99,24.24,24.13,24.41,27.77,27.74,27.42,27.24,27.06,26.64,0.31,0.28,0.22,0.2,0.09,-0.11,0.67,0.51,0.49,0.43,0.29,-0.1,0.59,0.41,0.21,0.32,0.11,0.13,166.0
297.3,302.4,279.9,277.9,245.0,183.5,1009.056667,1008.563441,1006.72,1007.060215,1006.335484,1006.577381,27.337333,27.814839,27.983333,27.914839,27.636129,27.499286,70375.0,71.016129,71.933333,72.0,74.241935,77.232143,20.95,21.35,21.51,22.63,23.79,25.56,25.46,25.25,25.24,24.91,24.86,25.43,23.95,23.99,24.24,24.13,24.41,25.52,27.74,27.42,27.24,27.06,26.64,26.56,0.28,0.22,0.2,0.09,-0.11,-0.32,0.51,0.49,0.43,0.29,-0.1,-0.2,0.41,0.21,0.32,0.11,0.13,0.05,237.4
302.4,279.9,277.9,245.0,183.5,161.1,1008.563441,1006.72,1007.060215,1006.335484,1006.577381,1006.190323,27.814839,27.983333,27.914839,27.636129,27.499286,26.556774,71.016129,71.933333,72.0,74.241935,77.232143,83.612903,21.35,21.51,22.63,23.79,25.56,26.45,25.25,25.24,24.91,24.86,25.43,26.33,23.99,24.24,24.13,24.41,25.52,26.68,27.42,27.24,27.06,26.64,26.56,26.98,0.22,0.2,0.09,-0.11,-0.32,-0.38,0.49,0.43,0.29,-0.1,-0.2,-0.23,0.21,0.32,0.11,0.13,0.05,0.33,328.3
279.9,277.9,245.0,183.5,161.1,157.1,1006.72,1007.060215,1006.335484,1006.577381,1006.190323,1007.497778,27.983333,27.914839,27.636129,27.499286,26.556774,26.537333,71.933333,72.0,74.241935,77.232143,83.612903,84.041667,21.51,22.63,23.79,25.56,26.45,24.64,25.24,24.91,24.86,25.43,26.33,26.7,24.24,24.13,24.41,25.52,26.68,26.71,27.24,27.06,26.64,26.56,26.98,27.41,0.2,0.09,-0.11,-0.32,-0.38,-0.31,0.43,0.29,-0.1,-0.2,-0.23,-0.13,0.32,0.11,0.13,0.05,0.33,0.45,361.2
277.9,245.0,183.5,161.1,157.1,175.4,1007.060215,1006.335484,1006.577381,1006.190323,1007.497778,1008.130108,27.914839,27.636129,27.499286,26.556774,26.537333,26.213548,72.0,74.241935,77.232143,83.612903,84.041667,84.145161,22.63,23.79,25.56,26.45,24.64,23.73,24.91,24.86,25.43,26.33,26.7,26.79,24.13,24.41,25.52,26.68,26.71,26.45,27.06,26.64,26.56,26.98,27.41,27.89,0.09,-0.11,-0.32,-0.38,-0.31,-0.21,0.29,-0.1,-0.2,-0.23,-0.13,0.11,0.11,0.13,0.05,0.33,0.45,0.53,43.2
245.0,183.5,161.1,157.1,175.4,253.1,1006.335484,1006.577381,1006.190323,1007.497778,1008.130108,1008.582222,27.636129,27.499286,26.556774,26.537333,26.213548,26.243333,74.241935,77.232143,83.612903,84.041667,84.145161,79375.0,23.79,25.56,26.45,24.64,23.73,22.36,24.86,25.43,26.33,26.7,26.79,26.53,24.41,25.52,26.68,26.71,26.45,25.72,26.64,26.56,26.98,27.41,27.89,27.96,-0.11,-0.32,-0.38,-0.31,-0.21,-0.15,-0.1,-0.2,-0.23,-0.13,0.11,0.15,0.13,0.05,0.33,0.45,0.53,0.49,10.4
183.5,161.1,157.1,175.4,253.1,284.0,1006.577381,1006.190323,1007.497778,1008.130108,1008.582222,1009.948387,27.499286,26.556774,26.537333,26.213548,26.243333,26.412903,77.232143,83.612903,84.041667,84.145161,79375.0,72.137097,25.56,26.45,24.64,23.73,22.36,21.73,25.43,26.33,26.7,26.79,26.53,26.13,25.52,26.68,26.71,26.45,25.72,25.05,26.56,26.98,27.41,27.89,27.96,27.75,-0.32,-0.38,-0.31,-0.21,-0.15,-0.09,-0.2,-0.23,-0.13,0.11,0.15,0.17,0.05,0.33,0.45,0.53,0.49,0.64,5.5
161.1,157.1,175.4,253.1,284.0,314.8,1006.190323,1007.497778,1008.130108,1008.582222,1009.948387,1009.913978,26.556774,26.537333,26.213548,26.243333,26.412903,26.594839,83.612903,84.041667,84.145161,79375.0,72.137097,70.306452,26.45,24.64,23.73,22.36,21.73,20.89,26.33,26.7,26.79,26.53,26.13,25.63,26.68,26.71,26.45,25.72,25.05,24.28,26.98,27.41,27.89,27.96,27.75,27.69,-0.38,-0.31,-0.21,-0.15,-0.09,-0.02,-0.23,-0.13,0.11,0.15,0.17,0.34,0.33,0.45,0.53,0.49,0.64,0.55,49.9
157.1,175.4,253.1,284.0,314.8,298.7,1007.497778,1008.130108,1008.582222,1009.948387,1009.913978,1008.44,26.537333,26.213548,26.243333,26.412903,26.594839,26872.0,84.041667,84.145161,79375.0,72.137097,70.306452,72.066667,24.64,23.73,22.36,21.73,20.89,19.67,26.7,26.79,26.53,26.13,25.63,25.63,26.71,26.45,25.72,25.05,24.28,23.79,27.41,27.89,27.96,27.75,27.69,27.79,-0.31,-0.21,-0.15,-0.09,-0.02,0.04,-0.13,0.11,0.15,0.17,0.34,0.38,0.45,0.53,0.49,0.64,0.55,0.24,8.6
175.4,253.1,284.0,314.8,298.7,299.5,1008.130108,1008.582222,1009.948387,1009.913978,1008.44,1008.424731,26.213548,26.243333,26.412903,26.594839,26872.0,27.300645,84.145161,79375.0,72.137097,70.306452,72.066667,70.266129,23.73,22.36,21.73,20.89,19.67,20.15,26.79,26.53,26.13,25.63,25.63,25.48,26.45,25.72,25.05,24.28,23.79,23.6,27.89,27.96,27.75,27.69,27.79,27.79,-0.21,-0.15,-0.09,-0.02,0.04,0.05,0.11,0.15,0.17,0.34,0.38,0.25,0.53,0.49,0.64,0.55,0.24,0.28,9.5
253.1,284.0,314.8,298.7,299.5,297.1,1008.582222,1009.948387,1009.913978,1008.44,1008.424731,1007.148889,26.243333,26.412903,26.594839,26872.0,27.300645,27.881333,79375.0,72.137097,70.306452,72.066667,70.266129,71.783333,22.36,21.73,20.89,19.67,20.15,20.43,26.53,26.13,25.63,25.63,25.48,25.12,25.72,25.05,24.28,23.79,23.6,23.6,27.96,27.75,27.69,27.79,27.79,27.42,-0.15,-0.09,-0.02,0.04,0.05,0.01,0.15,0.17,0.34,0.38,0.25,0.13,0.49,0.64,0.55,0.24,0.28,0.33,45.1
284.0,314.8,298.7,299.5,297.1,232.7,1009.948387,1009.913978,1008.44,1008.424731,1007.148889,1007.526882,26.412903,26.594839,26872.0,27.300645,27.881333,27.706452,72.137097,70.306452,72.066667,70.266129,71.783333,74.604839,21.73,20.89,19.67,20.15,20.43,22.17,26.13,25.63,25.63,25.48,25.12,24.86,25.05,24.28,23.79,23.6,23.6,23.68,27.75,27.69,27.79,27.79,27.42,27.18,-0.09,-0.02,0.04,0.05,0.01,-0.06,0.17,0.34,0.38,0.25,0.13,0.27,0.64,0.55,0.24,0.28,0.33,0.36,246.9
314.8,298.7,299.5,297.1,232.7,213.1,1009.913978,1008.44,1008.424731,1007.148889,1007.526882,1006.937634,26.594839,26872.0,27.300645,27.881333,27.706452,26.934839,70.306452,72.066667,70.266129,71.783333,74.604839,80.387097,20.89,19.67,20.15,20.43,22.17,23.81,25.63,25.63,25.48,25.12,24.86,24.78,24.28,23.79,23.6,23.6,23.68,24.0,27.69,27.79,27.79,27.42,27.18,26.99,-0.02,0.04,0.05,0.01,-0.06,-0.13,0.34,0.38,0.25,0.13,0.27,-0.18,0.55,0.24,0.28,0.33,0.36,0.21,161.0
298.7,299.5,297.1,232.7,213.1,188.2,1008.44,1008.424731,1007.148889,1007.526882,1006.937634,1008.275862,26872.0,27.300645,27.881333,27.706452,26.934839,27.267586,72.066667,70.266129,71.783333,74.604839,80.387097,77.896552,19.67,20.15,20.43,22.17,23.81,25.48,25.63,25.48,25.12,24.86,24.78,25.21,23.79,23.6,23.6,23.68,24.0,25.27,27.79,27.79,27.42,27.18,26.99,26.73,0.04,0.05,0.01,-0.06,-0.13,-0.16,0.38,0.25,0.13,0.27,-0.18,-0.1,0.24,0.28,0.33,0.36,0.21,0.39,323.9
299.5,297.1,232.7,213.1,188.2,174.6,1008.424731,1007.148889,1007.526882,1006.937634,1008.275862,1006.774194,27.300645,27.881333,27.706452,26.934839,27.267586,26.951613,70.266129,71.783333,74.604839,80.387097,77.896552,82.185484,20.15,20.43,22.17,23.81,25.48,26.02,25.48,25.12,24.86,24.78,25.21,26.3,23.6,23.6,23.68,24.0,25.27,26.7,27.79,27.42,27.18,26.99,26.73,26.89,0.05,0.01,-0.06,-0.13,-0.16,-0.14,0.25,0.13,0.27,-0.18,-0.1,0.06,0.28,0.33,0.36,0.21,0.39,0.4,507.1
297.1,232.7,213.1,188.2,174.6,124.3,1007.148889,1007.526882,1006.937634,1008.275862,1006.774194,1007.79,27.881333,27.706452,26.934839,27.267586,26.951613,26236.0,71.783333,74.604839,80.387097,77.896552,82.185484,86.291667,20.43,22.17,23.81,25.48,26.02,25.5,25.12,24.86,24.78,25.21,26.3,26.95,23.6,23.68,24.0,25.27,26.7,27.41,27.42,27.18,26.99,26.73,26.89,27.2,0.01,-0.06,-0.13,-0.16,-0.14,-0.15,0.13,0.27,-0.18,-0.1,0.06,-0.01,0.33,0.36,0.21,0.39,0.4,0.37,203.4
232.7,213.1,188.2,174.6,124.3,238.8,1007.526882,1006.937634,1008.275862,1006.774194,1007.79,1008.637634,27.706452,26.934839,27.267586,26.951613,26236.0,26.698065,74.604839,80.387097,77.896552,82.185484,86.291667,81.330645,22.17,23.81,25.48,26.02,25.5,24.02,24.86,24.78,25.21,26.3,26.95,27.07,23.68,24.0,25.27,26.7,27.41,26.88,27.18,26.99,26.73,26.89,27.2,27.63,-0.06,-0.13,-0.16,-0.14,-0.15,-0.23,0.27,-0.18,-0.1,0.06,-0.01,-0.06,0.36,0.21,0.39,0.4,0.37,0.29,83.3
213.1,188.2,174.6,124.3,238.8,226.6,1006.937634,1008.275862,1006.774194,1007.79,1008.637634,1009.747778,26.934839,27.267586,26.951613,26236.0,26.698065,26088.0,80.387097,77.896552,82.185484,86.291667,81.330645,80.191667,23.81,25.48,26.02,25.5,24.02,22.75,24.78,25.21,26.3,26.95,27.07,26.94,24.0,25.27,26.7,27.41,26.88,26.03,26.99,26.73,26.89,27.2,27.63,28.06,-0.13,-0.16,-0.14,-0.15,-0.23,-0.24,-0.18,-0.1,0.06,-0.01,-0.06,-0.16,0.21,0.39,0.4,0.37,0.29,0.2,114.1
296.6,290.6,269.4,273.5,134.4,210.6,1011.060606,1010.316129,1009.326667,1008.27907,1009.384783,1009.425301,26.938667,27.47871,27.75,28.057419,26.627097,27.263571,72.974138,71.983871,75.533333,77.258065,85.451613,80.991071,19.6,19.88,20.77,21.79,23.79,26.03,26.52,26.57,26.33,26.19,26.39,26.71,24.31,24.55,24.42,24.61,25.17,26.16,28.97,28.95,28.78,28.66,28.72,28.66,0.13,0.24,0.37,0.57,0.61,0.51,0.51,0.48,0.62,0.66,0.78,0.53,0.11,0.2,0.16,0.01,0.14,-0.06,344.3
290.6,269.4,273.5,134.4,210.6,182.6,1010.316129,1009.326667,1008.27907,1009.384783,1009.425301,1009.327957,27.47871,27.75,28.057419,26.627097,27.263571,26.757419,71.983871,75.533333,77.258065,85.451613,80.991071,85.798387,19.88,20.77,21.79,23.79,26.03,27.25,26.57,26.33,26.19,26.39,26.71,27.29,24.55,24.42,24.61,25.17,26.16,27.35,28.95,28.78,28.66,28.72,28.66,28.57,0.24,0.37,0.57,0.61,0.51,0.25,0.48,0.62,0.66,0.78,0.53,0.37,0.2,0.16,0.01,0.14,-0.06,0.29,505.2
269.4,273.5,134.4,210.6,182.6,153.3,1009.326667,1008.27907,1009.384783,1009.425301,1009.327957,1008.741111,27.75,28.057419,26.627097,27.263571,26.757419,26.317333,75.533333,77.258065,85.451613,80.991071,85.798387,87.358333,20.77,21.79,23.79,26.03,27.25,26.35,26.33,26.19,26.39,26.71,27.29,27.84,24.42,24.61,25.17,26.16,27.35,27.58,28.78,28.66,28.72,28.66,28.57,29.03,0.37,0.57,0.61,0.51,0.25,0.0,0.62,0.66,0.78,0.53,0.37,-0.02,0.16,0.01,0.14,-0.06,0.29,0.31,196.9
