feat_1,feat_2,feat_3,feat_4,feat_5,feat_6,feat_7,feat_8,feat_9,feat_10,feat_11,feat_12,feat_13,feat_14,feat_15,feat_16,feat_17,feat_18,feat_19,feat_20,feat_21,feat_22,feat_23,feat_24,feat_25,feat_26,feat_27,feat_28,feat_29,feat_30,feat_31,feat_32,feat_33,feat_34,feat_35,feat_36,feat_37,feat_38,feat_39,feat_40,feat_41,feat_42,feat_43,feat_44,feat_45,feat_46,feat_47,feat_48,feat_49,feat_50,feat_51,feat_52,feat_53,feat_54,feat_55,feat_56,feat_57,feat_58,feat_59,feat_60,feat_61,feat_62,feat_63,feat_64,feat_65,feat_66,PRECIPITACAO TOTAL MENSAL(mm)
194.8,254.9,258.3,265.9,261.8,266.1,983.349462,984.505952,983.539785,983.723333,985.169892,987.094444,27.397419,27.79,27.434194,27.473333,27.732903,27.17,76.725806,72.357143,77.306452,77.240385,62.798387,56.5,28.12,28.74,29.23,28.22,27.14,25.36,28.93,28.78,28.62,28.6,28.51,27.34,28.74,28.9,29.12,29.22,28.64,26.99,28.95,28.79,28.62,28.56,28.66,28.26,0.47,0.58,0.67,0.56,0.48,0.39,0.43,0.77,0.75,0.59,0.59,0.66,0.72,0.74,0.69,0.54,0.54,0.66,0.0
254.9,258.3,265.9,261.8,266.1,258.9,984.505952,983.539785,983.723333,985.169892,987.094444,987.307527,27.79,27.434194,27.473333,27.732903,27.17,27.369333,72.357143,77.306452,77.240385,62.798387,56.5,52.645161,28.74,29.23,28.22,27.14,25.36,23.37,28.78,28.62,28.6,28.51,27.34,26.3,28.9,29.12,29.22,28.64,26.99,25.42,28.79,28.62,28.56,28.66,28.26,28.11,0.58,0.67,0.56,0.48,0.39,0.37,0.77,0.75,0.59,0.59,0.66,0.56,0.74,0.69,0.54,0.54,0.66,0.85,18.8
258.3,265.9,261.8,266.1,258.9,293.1,983.539785,983.723333,985.169892,987.094444,987.307527,986.07957,27.434194,27.473333,27.732903,27.17,27.369333,27.903871,77.306452,77.240385,62.798387,56.5,52.645161,47.209677,29.23,28.22,27.14,25.36,23.37,21.97,28.62,28.6,28.51,27.34,26.3,25.57,29.12,29.22,28.64,26.99,25.42,24.45,28.62,28.56,28.66,28.26,28.11,27.77,0.67,0.56,0.48,0.39,0.37,0.31,0.75,0.59,0.59,0.66,0.56,0.67,0.69,0.54,0.54,0.66,0.85,0.59,2.8
265.9,261.8,266.1,258.9,293.1,312.0,983.723333,985.169892,987.094444,987.307527,986.07957,984.955556,27.473333,27.732903,27.17,27.369333,27.903871,28.809333,77.240385,62.798387,56.5,52.645161,47.209677,44.7,28.22,27.14,25.36,23.37,21.97,20.95,28.6,28.51,27.34,26.3,25.57,25.46,29.22,28.64,26.99,25.42,24.45,23.95,28.56,28.66,28.26,28.11,27.77,27.74,0.56,0.48,0.39,0.37,0.31,0.28,0.59,0.59,0.66,0.56,0.67,0.51,0.54,0.54,0.66,0.85,0.59,0.41,0.6
261.8,266.1,258.9,293.1,312.0,316.4,985.169892,987.094444,987.307527,986.07957,984.955556,984.298925,27.732903,27.17,27.369333,27.903871,28.809333,29.690323,62.798387,56.5,52.645161,47.209677,44.7,47.112903,27.14,25.36,23.37,21.97,20.95,21.35,28.51,27.34,26.3,25.57,25.46,25.25,28.64,26.99,25.42,24.45,23.95,23.99,28.66,28.26,28.11,27.77,27.74,27.42,0.48,0.39,0.37,0.31,0.28,0.22,0.59,0.66,0.56,0.67,0.51,0.49,0.54,0.66,0.85,0.59,0.41,0.21,0.0
286.6,195.1,230.0,211.0,232.0,227.5,983.133696,983.515054,983.92381,983.737634,985.124444,985.990323,29.278065,27.642581,27165.0,25.792903,25.925333,24.845161,50.129032,55.451613,59.794643,74.080645,76.966667,77.0,22.63,23.79,25.56,26.45,24.64,23.73,24.91,24.86,25.43,26.33,26.7,26.79,24.13,24.41,25.52,26.68,26.71,26.45,27.06,26.64,26.56,26.98,27.41,27.89,0.09,-0.11,-0.32,-0.38,-0.31,-0.21,0.29,-0.1,-0.2,-0.23,-0.13,0.11,0.11,0.13,0.05,0.33,0.45,0.53,17.0
195.1,230.0,211.0,232.0,227.5,281.9,983.515054,983.92381,983.737634,985.124444,985.990323,986.431111,27.642581,27165.0,25.792903,25.925333,24.845161,24.666667,55.451613,59.794643,74.080645,76.966667,77.0,66.8,23.79,25.56,26.45,24.64,23.73,22.36,24.86,25.43,26.33,26.7,26.79,26.53,24.41,25.52,26.68,26.71,26.45,25.72,26.64,26.56,26.98,27.41,27.89,27.96,-0.11,-0.32,-0.38,-0.31,-0.21,-0.15,-0.1,-0.2,-0.23,-0.13,0.11,0.15,0.13,0.05,0.33,0.45,0.53,0.49,7.4
230.0,211.0,232.0,227.5,281.9,294.0,983.92381,983.737634,985.124444,985.990323,986.431111,987.958065,27165.0,25.792903,25.925333,24.845161,24.666667,25.614839,59.794643,74.080645,76.966667,77.0,66.8,49.274194,25.56,26.45,24.64,23.73,22.36,21.73,25.43,26.33,26.7,26.79,26.53,26.13,25.52,26.68,26.71,26.45,25.72,25.05,26.56,26.98,27.41,27.89,27.96,27.75,-0.32,-0.38,-0.31,-0.21,-0.15,-0.09,-0.2,-0.23,-0.13,0.11,0.15,0.17,0.05,0.33,0.45,0.53,0.49,0.64,0.0
211.0,232.0,227.5,281.9,294.0,310.9,983.737634,985.124444,985.990323,986.431111,987.958065,987.462366,25.792903,25.925333,24.845161,24.666667,25.614839,26.112903,74.080645,76.966667,77.0,66.8,49.274194,45.854839,26.45,24.64,23.73,22.36,21.73,20.89,26.33,26.7,26.79,26.53,26.13,25.63,26.68,26.71,26.45,25.72,25.05,24.28,26.98,27.41,27.89,27.96,27.75,27.69,-0.38,-0.31,-0.21,-0.15,-0.09,-0.02,-0.23,-0.13,0.11,0.15,0.17,0.34,0.33,0.45,0.53,0.49,0.64,0.55,3.4
232.0,227.5,281.9,294.0,310.9,293.7,985.124444,985.990323,986.431111,987.958065,987.462366,985.022222,25.925333,24.845161,24.666667,25.614839,26.112903,28.380667,76.966667,77.0,66.8,49.274194,45.854839,46325.0,24.64,23.73,22.36,21.73,20.89,19.67,26.7,26.79,26.53,26.13,25.63,25.63,26.71,26.45,25.72,25.05,24.28,23.79,27.41,27.89,27.96,27.75,27.69,27.79,-0.31,-0.21,-0.15,-0.09,-0.02,0.04,-0.13,0.11,0.15,0.17,0.34,0.38,0.45,0.53,0.49,0.64,0.55,0.24,21.6
221.5,219.8,215.9,197.2,233.8,266.9,985.591398,985.643011,986.987356,986.098925,987.023333,988.047312,28.34129,26.136774,26.355172,25.846452,25.807333,25.685806,53.782258,77.653226,78.887931,84.120968,81.5,74.91129,22.17,23.81,25.48,26.02,25.5,24.02,24.86,24.78,25.21,26.3,26.95,27.07,23.68,24.0,25.27,26.7,27.41,26.88,27.18,26.99,26.73,26.89,27.2,27.63,-0.06,-0.13,-0.16,-0.14,-0.15,-0.23,0.27,-0.18,-0.1,0.06,-0.01,-0.06,0.36,0.21,0.39,0.4,0.37,0.29,20.9
219.8,215.9,197.2,233.8,266.9,230.1,985.643011,986.987356,986.098925,987.023333,988.047312,989.172222,26.136774,26.355172,25.846452,25.807333,25.685806,25534.0,77.653226,78.887931,84.120968,81.5,74.91129,68.8,23.81,25.48,26.02,25.5,24.02,22.75,24.78,25.21,26.3,26.95,27.07,26.94,24.0,25.27,26.7,27.41,26.88,26.03,26.99,26.73,26.89,27.2,27.63,28.06,-0.13,-0.16,-0.14,-0.15,-0.23,-0.24,-0.18,-0.1,0.06,-0.01,-0.06,-0.16,0.21,0.39,0.4,0.37,0.29,0.2,31.0
215.9,197.2,233.8,266.9,230.1,247.5,986.987356,986.098925,987.023333,988.047312,989.172222,988.92043,26.355172,25.846452,25.807333,25.685806,25534.0,26.248387,78.887931,84.120968,81.5,74.91129,68.8,59.451613,25.48,26.02,25.5,24.02,22.75,21.68,25.21,26.3,26.95,27.07,26.94,26.63,25.27,26.7,27.41,26.88,26.03,25.18,26.73,26.89,27.2,27.63,28.06,28.17,-0.16,-0.14,-0.15,-0.23,-0.24,-0.21,-0.1,0.06,-0.01,-0.06,-0.16,0.01,0.39,0.4,0.37,0.29,0.2,0.15,12.4
254.2,307.8,248.5,251.9,237.1,168.2,987.168889,987.35914,985.444444,986.531183,986.903297,986.033333,27.493333,28.947692,29.06,28.576552,27.59931,27.163077,58.0,49.137097,48025.0,54.419355,62.266667,69.848214,20.5,20.74,20.46,21.85,23.94,25.62,26.2,26.02,25.92,25.68,25.81,26.12,24.59,24.48,24.4,24.57,25.24,26.12,28.27,28.11,27.92,27.59,27.43,27.37,-0.16,-0.24,-0.33,-0.33,-0.27,-0.11,0.02,0.0,-0.12,-0.19,-0.13,-0.15,0.02,0.1,0.07,-0.01,0.16,0.17,262.7
307.8,248.5,251.9,237.1,168.2,200.8,987.35914,985.444444,986.531183,986.903297,986.033333,987.168817,28.947692,29.06,28.576552,27.59931,27.163077,26156.0,49.137097,48025.0,54.419355,62.266667,69.848214,77.024194,20.74,20.46,21.85,23.94,25.62,26.66,26.02,25.92,25.68,25.81,26.12,26.8,24.48,24.4,24.57,25.24,26.12,27.2,28.11,27.92,27.59,27.43,27.37,27.61,-0.24,-0.33,-0.33,-0.27,-0.11,-0.07,0.0,-0.12,-0.19,-0.13,-0.15,0.15,0.1,0.07,-0.01,0.16,0.17,0.29,128.9
248.5,251.9,237.1,168.2,200.8,196.8,985.444444,986.531183,986.903297,986.033333,987.168817,987.308889,29.06,28.576552,27.59931,27.163077,26156.0,26126.0,48025.0,54.419355,62.266667,69.848214,77.024194,76.758333,20.46,21.85,23.94,25.62,26.66,25.72,25.92,25.68,25.81,26.12,26.8,27.33,24.4,24.57,25.24,26.12,27.2,27.46,27.92,27.59,27.43,27.37,27.61,28.04,-0.33,-0.33,-0.27,-0.11,-0.07,-0.03,-0.12,-0.19,-0.13,-0.15,0.15,0.05,0.07,-0.01,0.16,0.17,0.29,0.38,13.6
251.9,237.1,168.2,200.8,196.8,258.0,986.531183,986.903297,986.033333,987.168817,987.308889,987.884783,28.576552,27.59931,27.163077,26156.0,26126.0,27.04,54.419355,62.266667,69.848214,77.024194,76.758333,70375.0,21.85,23.94,25.62,26.66,25.72,23.71,25.68,25.81,26.12,26.8,27.33,27.6,24.57,25.24,26.12,27.2,27.46,27.11,27.59,27.43,27.37,27.61,28.04,28.53,-0.33,-0.27,-0.11,-0.07,-0.03,-0.03,-0.19,-0.13,-0.15,0.15,0.05,0.06,-0.01,0.16,0.17,0.29,0.38,0.47,53.6
237.1,168.2,200.8,196.8,258.0,234.8,986.903297,986.033333,987.168817,987.308889,987.884783,989.6,27.59931,27.163077,26156.0,26126.0,27.04,26445.0,62.266667,69.848214,77.024194,76.758333,70375.0,62.491667,23.94,25.62,26.66,25.72,23.71,22.28,25.81,26.12,26.8,27.33,27.6,27.54,25.24,26.12,27.2,27.46,27.11,26.34,27.43,27.37,27.61,28.04,28.53,28.79,-0.27,-0.11,-0.07,-0.03,-0.03,0.03,-0.13,-0.15,0.15,0.05,0.06,0.24,0.16,0.17,0.29,0.38,0.47,0.36,10.4
168.2,200.8,196.8,258.0,234.8,263.5,986.033333,987.168817,987.308889,987.884783,989.6,989.835484,27.163077,26156.0,26126.0,27.04,26445.0,26.954667,69.848214,77.024194,76.758333,70375.0,62.491667,52.112903,25.62,26.66,25.72,23.71,22.28,21.38,26.12,26.8,27.33,27.6,27.54,27.25,26.12,27.2,27.46,27.11,26.34,25.53,27.37,27.61,28.04,28.53,28.79,28.98,-0.11,-0.07,-0.03,-0.03,0.03,0.05,-0.15,0.15,0.05,0.06,0.24,0.3,0.17,0.29,0.38,0.47,0.36,0.15,24.0
200.8,196.8,258.0,234.8,263.5,316.6,987.168817,987.308889,987.884783,989.6,989.835484,990.865591,26156.0,26126.0,27.04,26445.0,26.954667,27.330323,77.024194,76.758333,70375.0,62.491667,52.112903,43.564516,26.66,25.72,23.71,22.28,21.38,20.16,26.8,27.33,27.6,27.54,27.25,26.8,27.2,27.46,27.11,26.34,25.53,24.9,27.61,28.04,28.53,28.79,28.98,28.84,-0.07,-0.03,-0.03,0.03,0.05,0.08,0.15,0.05,0.06,0.24,0.3,0.34,0.29,0.38,0.47,0.36,0.15,0.14,6.2
