feat_1,feat_2,feat_3,feat_4,feat_5,feat_6,feat_7,feat_8,feat_9,feat_10,feat_11,feat_12,feat_13,feat_14,feat_15,feat_16,feat_17,feat_18,feat_19,feat_20,feat_21,feat_22,feat_23,feat_24,feat_25,feat_26,feat_27,feat_28,feat_29,feat_30,feat_31,feat_32,feat_33,feat_34,feat_35,feat_36,feat_37,feat_38,feat_39,feat_40,feat_41,feat_42,feat_43,feat_44,feat_45,feat_46,feat_47,feat_48,feat_49,feat_50,feat_51,feat_52,feat_53,feat_54,feat_55,feat_56,feat_57,feat_58,feat_59,feat_60,feat_61,feat_62,feat_63,feat_64,feat_65,feat_66,PRECIPITACAO TOTAL MENSAL(mm)
173.0,233.9,214.7,248.1,230.2,235.3,983.429032,983.982143,982.932258,983.381111,984.904301,986.508889,28.136774,29.287143,29.24129,29368.0,28.810968,28.422667,66.814516,58.294643,62.991935,62.408333,58.935484,49.691667,28.12,28.74,29.23,28.22,27.14,25.36,28.93,28.78,28.62,28.6,28.51,27.34,28.74,28.9,29.12,29.22,28.64,26.99,28.95,28.79,28.62,28.56,28.66,28.26,0.47,0.58,0.67,0.56,0.48,0.39,0.43,0.77,0.75,0.59,0.59,0.66,0.72,0.74,0.69,0.54,0.54,0.66,3.0
233.9,214.7,248.1,230.2,235.3,248.2,983.982143,982.932258,983.381111,984.904301,986.508889,986.517204,29.287143,29.24129,29368.0,28.810968,28.422667,28.205806,58.294643,62.991935,62.408333,58.935484,49.691667,49.967742,28.74,29.23,28.22,27.14,25.36,23.37,28.78,28.62,28.6,28.51,27.34,26.3,28.9,29.12,29.22,28.64,26.99,25.42,28.79,28.62,28.56,28.66,28.26,28.11,0.58,0.67,0.56,0.48,0.39,0.37,0.77,0.75,0.59,0.59,0.66,0.56,0.74,0.69,0.54,0.54,0.66,0.85,16.6
214.7,248.1,230.2,235.3,248.2,281.2,982.932258,983.381111,984.904301,986.508889,986.517204,986.092473,29.24129,29368.0,28.810968,28.422667,28.205806,28.108387,62.991935,62.408333,58.935484,49.691667,49.967742,50.209677,29.23,28.22,27.14,25.36,23.37,21.97,28.62,28.6,28.51,27.34,26.3,25.57,29.12,29.22,28.64,26.99,25.42,24.45,28.62,28.56,28.66,28.26,28.11,27.77,0.67,0.56,0.48,0.39,0.37,0.31,0.75,0.59,0.59,0.66,0.56,0.67,0.69,0.54,0.54,0.66,0.85,0.59,0.0
248.1,230.2,235.3,248.2,281.2,299.1,983.381111,984.904301,986.508889,986.517204,986.092473,985.803333,29368.0,28.810968,28.422667,28.205806,28.108387,28.597333,62.408333,58.935484,49.691667,49.967742,50.209677,47075.0,28.22,27.14,25.36,23.37,21.97,20.95,28.6,28.51,27.34,26.3,25.57,25.46,29.22,28.64,26.99,25.42,24.45,23.95,28.56,28.66,28.26,28.11,27.77,27.74,0.56,0.48,0.39,0.37,0.31,0.28,0.59,0.59,0.66,0.56,0.67,0.51,0.54,0.54,0.66,0.85,0.59,0.41,0.0
230.2,235.3,248.2,281.2,299.1,313.5,984.904301,986.508889,986.517204,986.092473,985.803333,985.255914,28.810968,28.422667,28.205806,28.108387,28.597333,28.916774,58.935484,49.691667,49.967742,50.209677,47075.0,46.290323,27.14,25.36,23.37,21.97,20.95,21.35,28.51,27.34,26.3,25.57,25.46,25.25,28.64,26.99,25.42,24.45,23.95,23.99,28.66,28.26,28.11,27.77,27.74,27.42,0.48,0.39,0.37,0.31,0.28,0.22,0.59,0.66,0.56,0.67,0.51,0.49,0.54,0.66,0.85,0.59,0.41,0.21,0.3
235.3,248.2,281.2,299.1,313.5,222.7,986.508889,986.517204,986.092473,985.803333,985.255914,983.476667,28.422667,28.205806,28.108387,28.597333,28.916774,28.761333,49.691667,49.967742,50.209677,47075.0,46.290323,49425.0,25.36,23.37,21.97,20.95,21.35,21.51,27.34,26.3,25.57,25.46,25.25,25.24,26.99,25.42,24.45,23.95,23.99,24.24,28.26,28.11,27.77,27.74,27.42,27.24,0.39,0.37,0.31,0.28,0.22,0.2,0.66,0.56,0.67,0.51,0.49,0.43,0.66,0.85,0.59,0.41,0.21,0.32,22.0
248.2,281.2,299.1,313.5,222.7,271.1,986.517204,986.092473,985.803333,985.255914,983.476667,983.303226,28.205806,28.108387,28.597333,28.916774,28.761333,28.910323,49.967742,50.209677,47075.0,46.290323,49425.0,49.814516,23.37,21.97,20.95,21.35,21.51,22.63,26.3,25.57,25.46,25.25,25.24,24.91,25.42,24.45,23.95,23.99,24.24,24.13,28.11,27.77,27.74,27.42,27.24,27.06,0.37,0.31,0.28,0.22,0.2,0.09,0.56,0.67,0.51,0.49,0.43,0.29,0.85,0.59,0.41,0.21,0.32,0.11,126.5
281.2,299.1,313.5,222.7,271.1,244.7,986.092473,985.803333,985.255914,983.476667,983.303226,983.06129,28.108387,28.597333,28.916774,28.761333,28.910323,28.294194,50.209677,47075.0,46.290323,49425.0,49.814516,57.677419,21.97,20.95,21.35,21.51,22.63,23.79,25.57,25.46,25.25,25.24,24.91,24.86,24.45,23.95,23.99,24.24,24.13,24.41,27.77,27.74,27.42,27.24,27.06,26.64,0.31,0.28,0.22,0.2,0.09,-0.11,0.67,0.51,0.49,0.43,0.29,-0.1,0.59,0.41,0.21,0.32,0.11,0.13,97.6
299.1,313.5,222.7,271.1,244.7,210.1,985.803333,985.255914,983.476667,983.303226,983.06129,983.265476,28.597333,28.916774,28.761333,28.910323,28.294194,28.184286,47075.0,46.290323,49425.0,49.814516,57.677419,59.357143,20.95,21.35,21.51,22.63,23.79,25.56,25.46,25.25,25.24,24.91,24.86,25.43,23.95,23.99,24.24,24.13,24.41,25.52,27.74,27.42,27.24,27.06,26.64,26.56,0.28,0.22,0.2,0.09,-0.11,-0.32,0.51,0.49,0.43,0.29,-0.1,-0.2,0.41,0.21,0.32,0.11,0.13,0.05,169.6
313.5,222.7,271.1,244.7,210.1,216.7,985.255914,983.476667,983.303226,983.06129,983.265476,983.250538,28.916774,28.761333,28.910323,28.294194,28.184286,26.73871,46.290323,49425.0,49.814516,57.677419,59.357143,71.137097,21.35,21.51,22.63,23.79,25.56,26.45,25.25,25.24,24.91,24.86,25.43,26.33,23.99,24.24,24.13,24.41,25.52,26.68,27.42,27.24,27.06,26.64,26.56,26.98,0.22,0.2,0.09,-0.11,-0.32,-0.38,0.49,0.43,0.29,-0.1,-0.2,-0.23,0.21,0.32,0.11,0.13,0.05,0.33,112.1
222.7,271.1,244.7,210.1,216.7,219.1,983.476667,983.303226,983.06129,983.265476,983.250538,984.66,28.761333,28.910323,28.294194,28.184286,26.73871,26.914667,49425.0,49.814516,57.677419,59.357143,71.137097,67.8,21.51,22.63,23.79,25.56,26.45,24.64,25.24,24.91,24.86,25.43,26.33,26.7,24.24,24.13,24.41,25.52,26.68,26.71,27.24,27.06,26.64,26.56,26.98,27.41,0.2,0.09,-0.11,-0.32,-0.38,-0.31,0.43,0.29,-0.1,-0.2,-0.23,-0.13,0.32,0.11,0.13,0.05,0.33,0.45,112.6
271.1,244.7,210.1,216.7,219.1,211.8,983.303226,983.06129,983.265476,983.250538,984.66,984.960215,28.910323,28.294194,28.184286,26.73871,26.914667,25.572903,49.814516,57.677419,59.357143,71.137097,67.8,75.75,22.63,23.79,25.56,26.45,24.64,23.73,24.91,24.86,25.43,26.33,26.7,26.79,24.13,24.41,25.52,26.68,26.71,26.45,27.06,26.64,26.56,26.98,27.41,27.89,0.09,-0.11,-0.32,-0.38,-0.31,-0.21,0.29,-0.1,-0.2,-0.23,-0.13,0.11,0.11,0.13,0.05,0.33,0.45,0.53,2.6
244.7,210.1,216.7,219.1,211.8,273.6,983.06129,983.265476,983.250538,984.66,984.960215,985.27,28.294194,28.184286,26.73871,26.914667,25.572903,26.350667,57.677419,59.357143,71.137097,67.8,75.75,58.791667,23.79,25.56,26.45,24.64,23.73,22.36,24.86,25.43,26.33,26.7,26.79,26.53,24.41,25.52,26.68,26.71,26.45,25.72,26.64,26.56,26.98,27.41,27.89,27.96,-0.11,-0.32,-0.38,-0.31,-0.21,-0.15,-0.1,-0.2,-0.23,-0.13,0.11,0.15,0.13,0.05,0.33,0.45,0.53,0.49,19.9
210.1,216.7,219.1,211.8,273.6,257.8,983.265476,983.250538,984.66,984.960215,985.27,985.312903,28.184286,26.73871,26.914667,25.572903,26.350667,26.85871,59.357143,71.137097,67.8,75.75,58.791667,49.91129,25.56,26.45,24.64,23.73,22.36,21.73,25.43,26.33,26.7,26.79,26.53,26.13,25.52,26.68,26.71,26.45,25.72,25.05,26.56,26.98,27.41,27.89,27.96,27.75,-0.32,-0.38,-0.31,-0.21,-0.15,-0.09,-0.2,-0.23,-0.13,0.11,0.15,0.17,0.05,0.33,0.45,0.53,0.49,0.64,0.0
216.7,219.1,211.8,273.6,257.8,309.9,983.250538,984.66,984.960215,985.27,985.312903,984.960215,26.73871,26.914667,25.572903,26.350667,26.85871,27.625161,71.137097,67.8,75.75,58.791667,49.91129,46.298387,26.45,24.64,23.73,22.36,21.73,20.89,26.33,26.7,26.79,26.53,26.13,25.63,26.68,26.71,26.45,25.72,25.05,24.28,26.98,27.41,27.89,27.96,27.75,27.69,-0.38,-0.31,-0.21,-0.15,-0.09,-0.02,-0.23,-0.13,0.11,0.15,0.17,0.34,0.33,0.45,0.53,0.49,0.64,0.55,1.7
219.1,211.8,273.6,257.8,309.9,288.0,984.66,984.960215,985.27,985.312903,984.960215,983.703333,26.914667,25.572903,26.350667,26.85871,27.625161,28.042667,67.8,75.75,58.791667,49.91129,46.298387,48.516667,24.64,23.73,22.36,21.73,20.89,19.67,26.7,26.79,26.53,26.13,25.63,25.63,26.71,26.45,25.72,25.05,24.28,23.79,27.41,27.89,27.96,27.75,27.69,27.79,-0.31,-0.21,-0.15,-0.09,-0.02,0.04,-0.13,0.11,0.15,0.17,0.34,0.38,0.45,0.53,0.49,0.64,0.55,0.24,4.1
211.8,273.6,257.8,309.9,288.0,296.7,984.960215,985.27,985.312903,984.960215,983.703333,983.498925,25.572903,26.350667,26.85871,27.625161,28.042667,28.442581,75.75,58.791667,49.91129,46.298387,48.516667,47.362903,23.73,22.36,21.73,20.89,19.67,20.15,26.79,26.53,26.13,25.63,25.63,25.48,26.45,25.72,25.05,24.28,23.79,23.6,27.89,27.96,27.75,27.69,27.79,27.79,-0.21,-0.15,-0.09,-0.02,0.04,0.05,0.11,0.15,0.17,0.34,0.38,0.25,0.53,0.49,0.64,0.55,0.24,0.28,12.6
273.6,257.8,309.9,288.0,296.7,242.4,985.27,985.312903,984.960215,983.703333,983.498925,982.675556,26.350667,26.85871,27.625161,28.042667,28.442581,28.635333,58.791667,49.91129,46.298387,48.516667,47.362903,52.391667,22.36,21.73,20.89,19.67,20.15,20.43,26.53,26.13,25.63,25.63,25.48,25.12,25.72,25.05,24.28,23.79,23.6,23.6,27.96,27.75,27.69,27.79,27.79,27.42,-0.15,-0.09,-0.02,0.04,0.05,0.01,0.15,0.17,0.34,0.38,0.25,0.13,0.49,0.64,0.55,0.24,0.28,0.33,34.7
257.8,309.9,288.0,296.7,242.4,212.1,985.312903,984.960215,983.703333,983.498925,982.675556,985.116129,26.85871,27.625161,28.042667,28.442581,28.635333,28.016774,49.91129,46.298387,48.516667,47.362903,52.391667,67.032258,21.73,20.89,19.67,20.15,20.43,22.17,26.13,25.63,25.63,25.48,25.12,24.86,25.05,24.28,23.79,23.6,23.6,23.68,27.75,27.69,27.79,27.79,27.42,27.18,-0.09,-0.02,0.04,0.05,0.01,-0.06,0.17,0.34,0.38,0.25,0.13,0.27,0.64,0.55,0.24,0.28,0.33,0.36,73.0
