feat_1,feat_2,feat_3,feat_4,feat_5,feat_6,feat_7,feat_8,feat_9,feat_10,feat_11,feat_12,feat_13,feat_14,feat_15,feat_16,feat_17,feat_18,feat_19,feat_20,feat_21,feat_22,feat_23,feat_24,feat_25,feat_26,feat_27,feat_28,feat_29,feat_30,feat_31,feat_32,feat_33,feat_34,feat_35,feat_36,feat_37,feat_38,feat_39,feat_40,feat_41,feat_42,feat_43,feat_44,feat_45,feat_46,feat_47,feat_48,feat_49,feat_50,feat_51,feat_52,feat_53,feat_54,feat_55,feat_56,feat_57,feat_58,feat_59,feat_60,feat_61,feat_62,feat_63,feat_64,feat_65,feat_66,PRECIPITACAO TOTAL MENSAL(mm)
216.1,228.7,249.1,247.6,281.8,298.8,964.545556,966.008602,967.711111,967.432258,966.650538,965.902222,27538.0,28.451613,27.286667,27.565806,27.716129,28.958667,67625.0,51.741935,48.566667,45.153226,42.532258,38.616667,28.22,27.14,25.36,23.37,21.97,20.95,28.6,28.51,27.34,26.3,25.57,25.46,29.22,28.64,26.99,25.42,24.45,23.95,28.56,28.66,28.26,28.11,27.77,27.74,0.56,0.48,0.39,0.37,0.31,0.28,0.59,0.59,0.66,0.56,0.67,0.51,0.54,0.54,0.66,0.85,0.59,0.41,128.7
228.7,249.1,247.6,281.8,298.8,299.2,966.008602,967.711111,967.432258,966.650538,965.902222,965.003226,28.451613,27.286667,27.565806,27.716129,28.958667,29.664516,51.741935,48.566667,45.153226,42.532258,38.616667,37.774194,27.14,25.36,23.37,21.97,20.95,21.35,28.51,27.34,26.3,25.57,25.46,25.25,28.64,26.99,25.42,24.45,23.95,23.99,28.66,28.26,28.11,27.77,27.74,27.42,0.48,0.39,0.37,0.31,0.28,0.22,0.59,0.66,0.56,0.67,0.51,0.49,0.54,0.66,0.85,0.59,0.41,0.21,35.4
249.1,247.6,281.8,298.8,299.2,201.7,967.711111,967.432258,966.650538,965.902222,965.003226,963.378889,27.286667,27.565806,27.716129,28.958667,29.664516,29296.0,48.566667,45.153226,42.532258,38.616667,37.774194,43.916667,25.36,23.37,21.97,20.95,21.35,21.51,27.34,26.3,25.57,25.46,25.25,25.24,26.99,25.42,24.45,23.95,23.99,24.24,28.26,28.11,27.77,27.74,27.42,27.24,0.39,0.37,0.31,0.28,0.22,0.2,0.66,0.56,0.67,0.51,0.49,0.43,0.66,0.85,0.59,0.41,0.21,0.32,138.8
247.6,281.8,298.8,299.2,201.7,223.3,967.432258,966.650538,965.902222,965.003226,963.378889,963.922581,27.565806,27.716129,28.958667,29.664516,29296.0,29.160645,45.153226,42.532258,38.616667,37.774194,43.916667,43.814516,23.37,21.97,20.95,21.35,21.51,22.63,26.3,25.57,25.46,25.25,25.24,24.91,25.42,24.45,23.95,23.99,24.24,24.13,28.11,27.77,27.74,27.42,27.24,27.06,0.37,0.31,0.28,0.22,0.2,0.09,0.56,0.67,0.51,0.49,0.43,0.29,0.85,0.59,0.41,0.21,0.32,0.11,64.4
281.8,298.8,299.2,201.7,223.3,160.2,966.650538,965.902222,965.003226,963.378889,963.922581,963.636559,27.716129,28.958667,29.664516,29296.0,29.160645,27.601935,42.532258,38.616667,37.774194,43.916667,43.814516,58.33871,21.97,20.95,21.35,21.51,22.63,23.79,25.57,25.46,25.25,25.24,24.91,24.86,24.45,23.95,23.99,24.24,24.13,24.41,27.77,27.74,27.42,27.24,27.06,26.64,0.31,0.28,0.22,0.2,0.09,-0.11,0.67,0.51,0.49,0.43,0.29,-0.1,0.59,0.41,0.21,0.32,0.11,0.13,61.0
298.8,299.2,201.7,223.3,160.2,181.7,965.902222,965.003226,963.378889,963.922581,963.636559,964.216667,28.958667,29.664516,29296.0,29.160645,27.601935,27.475714,38.616667,37.774194,43.916667,43.814516,58.33871,59.285714,20.95,21.35,21.51,22.63,23.79,25.56,25.46,25.25,25.24,24.91,24.86,25.43,23.95,23.99,24.24,24.13,24.41,25.52,27.74,27.42,27.24,27.06,26.64,26.56,0.28,0.22,0.2,0.09,-0.11,-0.32,0.51,0.49,0.43,0.29,-0.1,-0.2,0.41,0.21,0.32,0.11,0.13,0.05,5.8
299.2,201.7,223.3,160.2,181.7,157.3,965.003226,963.378889,963.922581,963.636559,964.216667,964.021505,29.664516,29296.0,29.160645,27.601935,27.475714,26.077419,37.774194,43.916667,43.814516,58.33871,59.285714,72.774194,21.35,21.51,22.63,23.79,25.56,26.45,25.25,25.24,24.91,24.86,25.43,26.33,23.99,24.24,24.13,24.41,25.52,26.68,27.42,27.24,27.06,26.64,26.56,26.98,0.22,0.2,0.09,-0.11,-0.32,-0.38,0.49,0.43,0.29,-0.1,-0.2,-0.23,0.21,0.32,0.11,0.13,0.05,0.33,0.5
201.7,223.3,160.2,181.7,157.3,172.9,963.378889,963.922581,963.636559,964.216667,964.021505,965.344444,29296.0,29.160645,27.601935,27.475714,26.077419,25.685333,43.916667,43.814516,58.33871,59.285714,72.774194,72.791667,21.51,22.63,23.79,25.56,26.45,24.64,25.24,24.91,24.86,25.43,26.33,26.7,24.24,24.13,24.41,25.52,26.68,26.71,27.24,27.06,26.64,26.56,26.98,27.41,0.2,0.09,-0.11,-0.32,-0.38,-0.31,0.43,0.29,-0.1,-0.2,-0.23,-0.13,0.32,0.11,0.13,0.05,0.33,0.45,4.6
223.3,160.2,181.7,157.3,172.9,186.0,963.922581,963.636559,964.216667,964.021505,965.344444,966.305376,29.160645,27.601935,27.475714,26.077419,25.685333,24.959355,43.814516,58.33871,59.285714,72.774194,72.791667,74.08871,22.63,23.79,25.56,26.45,24.64,23.73,24.91,24.86,25.43,26.33,26.7,26.79,24.13,24.41,25.52,26.68,26.71,26.45,27.06,26.64,26.56,26.98,27.41,27.89,0.09,-0.11,-0.32,-0.38,-0.31,-0.21,0.29,-0.1,-0.2,-0.23,-0.13,0.11,0.11,0.13,0.05,0.33,0.45,0.53,2.0
160.2,181.7,157.3,172.9,186.0,275.4,963.636559,964.216667,964.021505,965.344444,966.305376,966.551111,27.601935,27.475714,26.077419,25.685333,24.959355,25.793333,58.33871,59.285714,72.774194,72.791667,74.08871,54.291667,23.79,25.56,26.45,24.64,23.73,22.36,24.86,25.43,26.33,26.7,26.79,26.53,24.41,25.52,26.68,26.71,26.45,25.72,26.64,26.56,26.98,27.41,27.89,27.96,-0.11,-0.32,-0.38,-0.31,-0.21,-0.15,-0.1,-0.2,-0.23,-0.13,0.11,0.15,0.13,0.05,0.33,0.45,0.53,0.49,7.1
181.7,157.3,172.9,186.0,275.4,286.0,964.216667,964.021505,965.344444,966.305376,966.551111,967.898925,27.475714,26.077419,25.685333,24.959355,25.793333,26.254839,59.285714,72.774194,72.791667,74.08871,54.291667,43.604839,25.56,26.45,24.64,23.73,22.36,21.73,25.43,26.33,26.7,26.79,26.53,26.13,25.52,26.68,26.71,26.45,25.72,25.05,26.56,26.98,27.41,27.89,27.96,27.75,-0.32,-0.38,-0.31,-0.21,-0.15,-0.09,-0.2,-0.23,-0.13,0.11,0.15,0.17,0.05,0.33,0.45,0.53,0.49,0.64,3.0
