Year-month,NTA
1998-01-01,0.47
1998-02-01,0.58
1998-03-01,0.67
1998-04-01,0.56
1998-05-01,0.48
1998-06-01,0.39
1998-07-01,0.37
1998-08-01,0.31
1998-09-01,0.28
1998-10-01,0.22
1998-11-01,0.2
1998-12-01,0.09
1999-01-01,-0.11
1999-02-01,-0.32
1999-03-01,-0.38
1999-04-01,-0.31
1999-05-01,-0.21
1999-06-01,-0.15
1999-07-01,-0.09
1999-08-01,-0.02
1999-09-01,0.04
1999-10-01,0.05
1999-11-01,0.01
1999-12-01,-0.06
2000-01-01,-0.13
2000-02-01,-0.16
2000-03-01,-0.14
2000-04-01,-0.15
2000-05-01,-0.23
2000-06-01,-0.24
2000-07-01,-0.21
2000-08-01,-0.16
2000-09-01,-0.16
2000-10-01,-0.24
2000-11-01,-0.33
2000-12-01,-0.33
2001-01-01,-0.27
2001-02-01,-0.11
2001-03-01,-0.07
2001-04-01,-0.03
2001-05-01,-0.03
2001-06-01,0.03
2001-07-01,0.05
2001-08-01,0.08
2001-09-01,0.13
2001-10-01,0.24
2001-11-01,0.37
2001-12-01,0.57
2002-01-01,0.61
2002-02-01,0.51
2002-03-01,0.25
2002-04-01,0.0
2002-05-01,-0.14
2002-06-01,-0.22
2002-07-01,-0.18
2002-08-01,-0.15
2002-09-01,-0.02
2002-10-01,0.01
2002-11-01,0.01
2002-12-01,0.03
2003-01-01,-0.0
2003-02-01,0.01
2003-03-01,-0.02
2003-04-01,0.01
2003-05-01,0.0
2003-06-01,0.05
2003-07-01,0.2
2003-08-01,0.34
2003-09-01,0.51
2003-10-01,0.45
2003-11-01,0.41
2003-12-01,0.36
2004-01-01,0.49
2004-02-01,0.47
2004-03-01,0.38
2004-04-01,0.19
2004-05-01,0.12
2004-06-01,0.14
2004-07-01,0.23
2004-08-01,0.35
2004-09-01,0.41
2004-10-01,0.46
2004-11-01,0.44
2004-12-01,0.45
2005-01-01,0.38
2005-02-01,0.47
2005-03-01,0.57
2005-04-01,0.75
2005-05-01,0.75
2005-06-01,0.68
2005-07-01,0.53
2005-08-01,0.46
2005-09-01,0.38
2005-10-01,0.37
2005-11-01,0.42
2005-12-01,0.47
2006-01-01,0.39
2006-02-01,0.19
2006-03-01,0.16
2006-04-01,0.25
2006-05-01,0.37
2006-06-01,0.33
2006-07-01,0.3
2006-08-01,0.3
2006-09-01,0.4
2006-10-01,0.49
2006-11-01,0.45
2006-12-01,0.42
2007-01-01,0.4
2007-02-01,0.42
2007-03-01,0.44
2007-04-01,0.31
2007-05-01,0.19
2007-06-01,0.04
2007-07-01,-0.02
2007-08-01,-0.06
2007-09-01,-0.05
2007-10-01,-0.02
2007-11-01,-0.01
2007-12-01,0.01
2008-01-01,0.03
2008-02-01,0.08
2008-03-01,0.11
2008-04-01,0.1
2008-05-01,0.09
